"F1 2020 Telemetry of Silverstone Short - Mercedes - One Shot Quali - DRY 0","2022-06-04 02:03:48",47.880,22,2,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,9,0,0,18,1,10,5.0,9,13000.0,4300.0,false,30.0,22.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
1.3220911,1.3220911,0.0,0.0,0.0,264.49237,10625.0,100.0,0.0,1.9261605,0.0,7.0,0.0,0.0,3756978.8,87.0,1.0,0.0,0.0,4.886674,0.0,0.0,-561.9005,-10.213177,463.2579,-0.69050467,0.51873416,0.08331299,266.08612,265.65472,265.03918,264.4636,102.0,102.0,102.0,102.0,105.0,97.0,105.0,93.0,0.0,0.0,0.0,0.0,0.030495374,0.02759813,0.013075566,0.010925209,9.680876,8.296818,-11.908565,-12.119156,205.68437,35.364082,-663.9779,-507.28418,0.0,0.0,1006.3816,3.0,3.0,2.5133877,0.003935735,-2.257824E-4,92.0,92.0,92.0,92.0,21.1,21.1,23.0,23.0,0.0050596977,0.005386088,0.0010231197,9.460473E-4,0.0,0.0
3.7408063,3.7408063,0.030912686,0.0,0.0,265.0818,10653.0,100.0,0.0,0.8712048,0.0,7.0,0.0,0.0,3754844.2,87.0,1.0,0.0,0.0,4.885559,0.0,0.0,-560.4857,-10.205752,461.3056,-0.5481881,0.5090955,-0.16412956,266.72574,266.39816,265.5826,265.11563,102.0,102.0,102.0,102.0,105.0,96.0,105.0,93.0,0.0,0.0,0.0,0.0,0.030159572,0.026886659,0.012839068,0.01066285,-26.417387,-30.217993,-8.438292,-7.3652434,-1101.2681,-1174.9908,105.869385,145.03003,0.0,0.0,3140.6501,3.0,3.0,2.5106664,0.0037186067,5.840063E-4,92.0,92.0,92.0,92.0,21.1,21.1,23.0,23.0,0.005387786,0.0057175774,0.0010230842,9.3946286E-4,0.0,0.0
6.2502694,6.2502694,0.0636915,0.0,0.0,265.67752,10677.0,100.0,0.0,0.86233914,0.0,7.0,0.0,0.0,3752634.8,87.0,1.0,0.0,0.0,4.8844075,0.0,0.0,-559.0129,-10.197748,459.2835,-0.5237806,0.48772687,-0.33934328,267.2921,267.04123,266.12674,265.73785,102.0,102.0,102.0,102.0,105.0,96.0,105.0,93.0,0.0,0.0,0.0,0.0,0.0306267,0.02750499,0.012798761,0.010924021,-33.54441,-31.03821,-12.800236,-8.146949,-210.0233,-24.170637,-128.54031,-23.035751,0.0,0.0,5350.163,3.0,3.0,2.5083864,0.0034544964,0.0011107922,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.005485816,0.0058027203,0.0010096118,9.346656E-4,0.0,0.0
8.883162,8.883162,0.09762594,0.0,0.0,266.29678,10696.0,100.0,0.0,1.0437107,0.0,7.0,0.0,0.0,3750321.8,87.0,1.0,0.0,0.0,4.8832035,0.0,0.0,-557.4623,-10.1935005,457.16565,-0.5177741,0.4909172,-0.17355895,267.78372,267.5257,266.73508,266.3711,102.0,102.0,102.0,102.0,104.0,96.0,105.0,93.0,0.0,0.0,0.0,0.0,0.030451616,0.02689956,0.012313996,0.010263434,17.678244,11.3921995,5.634413,-0.19780217,1441.8955,1194.3976,518.9273,223.76501,0.0,0.0,7663.209,3.0,3.0,2.506274,0.0028769777,-1.9574165E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.005079699,0.00529818,0.0010400241,9.6250913E-4,0.0,0.0
11.766839,11.766839,0.13315047,0.0,0.0,266.9594,10720.0,100.0,0.0,1.2273532,0.0,7.0,0.0,0.0,3747794.2,87.0,1.0,0.0,0.0,4.88189,0.0,0.0,-555.7579,-10.187707,454.85052,-0.50243765,0.48677677,0.59378666,268.40677,268.1087,267.43225,267.04886,102.0,102.0,102.0,102.0,104.0,96.0,105.0,92.0,0.0,0.0,0.0,0.0,0.035187714,0.031393647,0.01435724,0.012363218,74.0655,58.715584,22.544498,22.450249,1452.7112,1219.1976,435.65646,583.48425,0.0,0.0,10190.514,3.0,3.0,2.5039754,0.0025978235,-0.002439499,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0049019395,0.0050349594,0.0011556875,0.0010788962,0.0,0.0
14.721267,14.721267,0.17196566,0.0,0.0,267.627,10752.0,100.0,0.0,1.3550926,0.0,7.0,0.0,0.0,3745211.2,87.0,1.0,0.0,0.0,4.8805494,0.0,0.0,-554.0053,-10.173619,452.48312,-0.48764166,0.47561595,0.09032156,269.17682,268.89304,268.11957,267.71677,102.0,102.0,102.0,102.0,104.0,96.0,104.0,92.0,0.0,0.0,0.0,0.0,0.036271106,0.033275247,0.0131221395,0.0112855295,-22.782156,-20.018045,-24.038544,-22.368807,-2441.2964,-1984.6853,-1174.2465,-1129.7805,0.0,0.0,12773.514,3.0,3.0,2.501482,0.0023168148,-0.0020145178,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0050660023,0.0053205653,0.0010743774,0.0010036132,0.0,0.0
17.631363,17.631363,0.21163625,0.0,0.0,268.27408,10782.0,100.0,0.0,1.2509454,0.0,7.0,0.0,0.0,3742673.2,87.0,1.0,0.0,0.0,4.879235,0.0,0.0,-552.27325,-10.162234,450.15546,-0.45611706,0.47439858,-0.8129078,269.94266,269.67676,268.7353,268.32895,102.0,102.0,102.0,102.0,104.0,96.0,104.0,92.0,0.0,0.0,0.0,0.0,0.029737297,0.026701601,0.011553094,0.009778187,-81.550285,-76.616516,-23.454636,-20.888575,-1507.6636,-1452.0023,14.979837,37.974533,0.0,0.0,15311.523,3.0,3.0,2.4989505,0.0021882998,-5.5515766E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0055900174,0.0059348326,9.920206E-4,9.264505E-4,0.0,0.0
20.69675,20.69675,0.25061584,0.0,0.0,268.9604,10804.0,100.0,0.0,0.87399864,0.0,7.0,0.0,0.0,3740006.2,87.0,1.0,0.0,0.0,4.877855,0.0,0.0,-550.44275,-10.160514,447.7077,-0.43710485,0.47125232,-0.2614852,270.47275,270.21863,269.41776,269.06293,102.0,102.0,102.0,102.0,104.0,96.0,104.0,92.0,0.0,0.0,0.0,0.0,0.030101934,0.027033465,0.011545178,0.009904752,23.671444,18.077492,11.573612,9.491028,2568.8335,2311.8147,855.1631,741.6732,0.0,0.0,17978.54,3.0,3.0,2.496462,0.0015878506,-6.5243244E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0050731823,0.005278866,0.0010718475,0.00100309,0.0,0.0
23.710976,23.710976,0.29157674,0.0,0.0,269.61777,10829.0,100.0,0.0,0.27714995,0.0,7.0,0.0,0.0,3737390.2,87.0,1.0,0.0,0.0,4.8765025,0.0,0.0,-548.63763,-10.161559,445.30453,-0.34182253,0.46290812,0.15462096,271.06235,270.87567,270.0326,269.78964,102.0,102.0,102.0,102.0,104.0,96.0,104.0,92.0,0.0,0.0,0.0,0.0,0.031992402,0.029685732,0.012989147,0.011566458,27.457712,39.94414,17.922531,21.835873,94.236046,544.2368,158.0176,307.2496,0.0,0.0,20594.613,3.0,3.0,2.4945953,0.0016027049,-5.069971E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.005017551,0.0050872294,0.0011286266,0.0010656771,0.0,0.0
26.697884,26.697884,0.3317553,0.0,0.0,270.25418,10853.0,100.0,0.0,-0.30133528,0.0,7.0,0.0,0.0,3734804.2,87.0,1.0,0.0,0.0,4.8751664,0.0,0.0,-546.8452,-10.158093,442.9258,-0.21723486,0.4551726,0.5988638,271.6094,271.5258,270.60162,270.49954,102.0,102.0,102.0,102.0,104.0,96.0,104.0,92.0,0.0,0.0,0.0,0.0,0.034331497,0.03290936,0.014783487,0.013626987,28.890627,46.33164,17.88457,24.210588,36.07414,160.80751,-0.9557058,59.784317,0.0,0.0,23180.586,3.0,3.0,2.4935803,0.0023479667,-0.0012538433,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004962459,0.004945856,0.0011693863,0.0011246521,0.0,0.0
