"F1 2020 Telemetry of Silverstone Short - Mercedes - Short Q - WET 0","2022-06-02 03:14:30",78.538,22,1,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,8,0,3,7,1,10,5.0,9,13000.0,4300.0,false,26.0,21.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
0.40532923,0.40532923,0.0,0.0,0.0,148.99654,11134.0,100.0,0.0,4.6890974,0.0,3.0,0.0,0.0,3993122.5,98.0,17.0,0.0,0.0,4.002222,0.0,0.0,-564.8051,-10.167573,462.31213,-0.56633306,0.77260995,-0.063965276,150.4246,150.1006,149.33846,148.53333,420.0,419.0,359.0,358.0,60.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.0136076445,0.0098729795,0.0035430244,9.62842E-4,37.481945,-43.74053,20.92888,-44.311245,2995.272,-4332.1646,1520.5308,-4101.5483,0.0,0.0,0.0,3.0,3.0,2.5426435,0.002418809,4.7636032E-4,66.0,65.0,67.0,65.0,20.84971,20.758322,22.341599,22.226166,0.007261092,0.01033572,-3.6141605E-4,-4.5753253E-4,0.0,0.0
1.4508958,1.4508958,0.024450371,0.0,0.0,149.48653,11153.0,100.0,0.0,4.6890974,0.0,3.0,0.0,0.0,3992663.0,98.0,17.0,0.0,0.0,4.0013704,0.0,0.0,-564.2165,-10.165342,461.45172,-0.60334235,0.49106365,0.019471047,150.71185,150.24023,149.83939,149.05632,419.0,418.0,358.0,358.0,60.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.013468212,0.010219452,0.0034829376,0.0016163299,-5.809723,-20.950897,3.567003,25.063848,-1721.8796,906.4331,-690.55005,2759.3198,0.0,910.2243,1369.717,3.0,3.0,2.5393434,0.0021400638,7.4374676E-4,66.0,65.0,67.0,65.0,20.849411,20.757933,22.341158,22.225586,0.0056448993,0.007361238,-2.6263457E-4,-2.6585528E-4,0.0,0.0
2.529433,2.529433,0.049592473,0.0,0.0,150.08623,11228.0,100.0,0.0,4.6890974,0.0,3.0,0.0,0.0,3992000.5,98.0,17.0,0.0,0.0,4.000493,0.0,0.0,-563.60614,-10.1629,460.56644,-0.6105653,0.73484737,0.24095562,151.7561,151.21352,150.41307,149.62604,419.0,418.0,357.0,357.0,60.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.013223733,0.010120828,0.003806185,0.0027417939,-4.224972,16.9592,0.7407511,52.33272,61.31521,1466.77,-109.34981,1055.0531,0.0,1679.799,2802.0288,3.0,3.0,2.53595,0.0012494479,2.0885468E-4,66.0,65.0,67.0,65.0,20.849104,20.757532,22.340706,22.224989,0.008566671,0.009771806,-4.1715117E-4,-4.164989E-4,0.0,0.0
3.6918318,3.6918318,0.07543844,0.0,0.0,150.87027,11398.0,100.0,0.0,4.679942,0.0,3.0,0.0,0.0,3990993.8,98.0,17.0,0.0,0.0,3.9995456,0.0,0.0,-562.9449,-10.159887,459.61472,-0.52691305,0.8400642,-0.18636288,153.4368,154.13254,151.17755,150.3743,418.0,417.0,357.0,356.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.014167064,0.008119822,0.0035639615,0.0018085418,17.72776,-38.19561,-12.613065,-24.076792,791.7554,-1989.2338,-481.6237,-2755.814,0.0,2244.982,4374.1577,3.0,3.0,2.5322645,4.606215E-4,-9.765625E-4,66.0,65.0,67.0,65.0,20.848776,20.757101,22.340221,22.224348,0.014144471,0.023841567,-5.4177566E-4,-6.108186E-4,0.0,0.0
4.8938823,4.8938823,0.1031651,0.0,0.0,151.85695,11556.0,100.0,0.0,4.679942,0.0,3.0,0.0,0.0,3989775.8,99.0,17.0,0.0,0.0,3.998558,0.0,0.0,-562.2579,-10.158407,458.6328,-0.506333,0.9447582,-0.12275551,155.9748,155.95097,152.17303,151.37778,418.0,417.0,356.0,356.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.013418674,0.008966109,0.002175254,0.001802205,-21.515701,7.69416,-22.489235,46.577976,-1377.0802,1610.3037,-346.56165,2479.3247,0.0,2690.6519,6038.0405,3.0,3.0,2.528501,0.002565747,9.3472004E-4,66.0,65.0,67.0,65.0,20.848438,20.756662,22.339724,22.223692,0.025356915,0.03024846,-5.740332E-4,-4.9718114E-4,0.0,0.0
6.095781,6.095781,0.13166268,0.0,0.0,152.68286,11431.0,100.0,0.0,4.679942,0.0,3.0,0.0,0.0,3989102.8,99.0,17.0,0.0,0.0,3.9975724,3.0,0.0,-561.5675,-10.157293,457.65344,-0.61941564,0.69098645,-0.040890295,154.16411,154.37427,153.03935,152.21402,417.0,416.0,355.0,355.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.013942102,0.009091725,0.003471245,0.0016930848,25.32458,-44.513218,35.60416,-13.826258,1653.9822,-1843.5004,2051.342,-2132.9404,0.0,3720.8252,7740.9224,3.0,3.0,2.5246289,-0.0010166477,-0.0017145872,66.0,65.0,67.0,65.0,20.848106,20.75623,22.339228,22.223038,0.0074144546,0.013926214,-3.258584E-4,-3.8921277E-4,0.0,0.0
7.333735,7.333735,0.15998238,0.0,0.0,153.27734,11430.0,100.0,0.0,4.6768904,0.0,3.0,0.0,0.0,3988373.8,99.0,17.0,0.0,0.0,3.9965684,3.0,0.0,-560.85223,-10.155551,456.64774,-0.6058207,0.5063446,0.06545315,154.49161,153.95428,153.63812,152.83635,416.0,416.0,355.0,354.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.014278844,0.010061571,0.004392224,0.0014127467,-2.784676,2.1449552,10.122371,-0.6916709,-968.01953,1606.8026,-877.5355,452.32562,0.0,4775.541,9524.69,3.0,3.0,2.5207138,-0.0012959269,-0.0016329288,66.0,65.0,67.0,65.0,20.847769,20.755789,22.338718,22.22237,0.005420983,0.00679699,-2.4908243E-4,-2.71137E-4,0.0,0.0
8.570977,8.570977,0.18902028,0.0,0.0,153.91676,11519.0,100.0,0.0,4.6646833,0.0,3.0,0.0,0.0,3987426.5,99.0,17.0,0.0,0.0,3.9955664,3.0,0.0,-560.1333,-10.152931,455.6455,-0.61535245,0.70210713,0.17400414,155.67145,155.17024,154.25356,153.4332,416.0,415.0,354.0,354.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.013684359,0.00990019,0.0051072016,0.0024491646,-6.399374,1.8614293,10.226426,16.926693,-125.026855,-9.806724,3.5991168,609.3922,0.0,5634.8516,11331.003,3.0,3.0,2.5167859,-9.3137135E-4,-0.0017831326,66.0,65.0,67.0,65.0,20.847437,20.75535,22.338215,22.221703,0.0088577885,0.010578485,-3.8968184E-4,-4.1582485E-4,0.0,0.0
9.798767,9.798767,0.21793164,0.0,0.0,154.83319,11648.0,100.0,0.0,4.643321,0.0,3.0,0.0,0.0,3986148.0,99.0,17.0,0.0,0.0,3.99457,3.0,0.0,-559.4159,-10.149254,454.65375,-0.4956251,0.964354,-0.09913563,157.39346,156.90068,155.13683,154.2782,415.0,415.0,353.0,353.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.014411824,0.011046988,0.004713517,3.3244377E-4,12.90188,23.433456,-10.361034,-73.02025,676.18494,755.73737,-721.2448,-3151.1304,0.0,6180.718,13155.58,3.0,3.0,2.5129097,7.695122E-5,-0.0020650625,66.0,65.0,67.0,65.0,20.847107,20.754917,22.337717,22.221048,0.013860737,0.015621336,-5.528133E-4,-0.0010375581,0.0,0.0
11.031082,11.031082,0.24647598,0.0,0.0,155.8462,11888.0,100.0,0.0,4.6097517,0.0,3.0,0.0,0.0,3984521.5,99.0,17.0,0.0,0.0,3.9935653,3.0,0.0,-558.6924,-10.145236,453.66083,-0.5479507,1.0258996,0.04691814,160.4358,160.34338,156.15747,155.32089,415.0,414.0,353.0,352.0,61.0,57.0,56.0,51.0,0.0,0.0,0.0,0.0,0.0138672795,0.011594481,0.0039451886,0.0022982245,-3.3926027,-2.2329164,-3.9402578,3.799525,-572.3218,-901.49677,225.52112,2698.191,0.0,6425.3247,15026.752,3.0,3.0,2.5090365,-4.2778754E-4,-0.0031152964,66.0,65.0,67.0,65.0,20.846783,20.754486,22.33722,22.220392,0.02660054,0.03076078,-5.98595E-4,-6.3713954E-4,0.0,0.0
