"F1 2020 Telemetry of Silverstone Short - Mercedes - Short Q - DRY 0","2022-06-04 03:29:39",70.305,22,1,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,8,0,0,18,1,10,5.0,9,13000.0,4300.0,false,30.0,22.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
1.2279979,1.2279979,0.0,0.0,0.0,216.29724,11407.0,61.327534,0.0,2.9844084,0.0,5.0,0.0,0.0,3942563.2,105.0,16.0,0.0,0.0,3.85532,0.0,0.0,-562.23596,-10.195305,463.13422,-1.0402987,0.38746172,-0.06836158,217.60446,216.82324,216.94827,215.76784,743.0,743.0,639.0,640.0,91.0,81.0,90.0,78.0,1.0,1.0,1.0,1.0,0.025560481,0.019424295,0.009415924,0.00511807,-4.868216,4.629327,-21.805895,-10.494384,-148.19376,-356.27197,-441.905,-376.116,0.0,319.602,652.33563,3.0,3.0,2.5137863,0.0013205206,-0.0011255741,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.003911109,0.0045350515,7.2269747E-4,-1.588491E-4,0.0,0.0
2.8451135,2.8451135,0.027227543,0.0,0.0,216.65718,11429.0,61.327534,0.0,2.380644,0.0,5.0,0.0,0.0,3941908.0,105.0,16.0,0.0,0.0,3.8544939,0.0,0.0,-561.2917,-10.191501,461.8278,-0.93941313,0.38412485,-0.21944149,217.9684,217.29834,217.2504,216.19264,741.0,742.0,637.0,638.0,91.0,81.0,90.0,78.0,1.0,1.0,1.0,1.0,0.024377458,0.01817263,0.009214159,0.0050418023,-25.71325,-27.43739,0.8904891,2.4008913,-777.6166,-1196.2374,846.6806,481.05368,0.0,948.8457,1936.8228,3.0,3.0,2.509644,0.0012374707,-3.23534E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004198887,0.0047982195,7.457436E-4,-1.5059806E-4,0.0,0.0
4.76978,4.76978,0.054033857,0.0,0.0,217.08582,11450.0,61.327534,0.0,1.7694365,0.0,5.0,0.0,0.0,3941129.5,105.0,16.0,0.0,0.0,3.8535113,0.0,0.0,-560.161,-10.188822,460.2776,-0.8281136,0.38624427,-0.1453235,218.30548,217.71548,217.59277,216.69058,740.0,740.0,635.0,636.0,91.0,81.0,90.0,78.0,1.0,1.0,1.0,1.0,0.022984454,0.017477311,0.009183187,0.0056309407,-17.547985,-2.0876453,-3.761323,10.260147,256.36874,795.9182,-146.05519,246.76085,0.0,1696.36,3462.9746,3.0,3.0,2.5054724,0.0019481496,3.9362907E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004161734,0.00446148,7.3224475E-4,-1.574757E-4,0.0,0.0
6.8491983,6.8491983,0.08588354,0.0,0.0,217.54852,11470.0,61.327534,0.0,1.4737166,0.0,5.0,0.0,0.0,3940290.0,105.0,16.0,0.0,0.0,3.8524513,0.0,0.0,-558.9322,-10.186872,458.60797,-0.728342,0.38141587,0.034828085,218.67339,218.202,217.99312,217.22789,738.0,738.0,633.0,634.0,91.0,81.0,90.0,78.0,1.0,1.0,1.0,1.0,0.023682747,0.018544432,0.009079727,0.005941513,15.5771475,15.196656,0.09925896,3.417695,964.59753,503.31555,112.4194,-199.25089,0.0,2502.2239,5108.498,3.0,3.0,2.501811,0.0016565983,-4.9471855E-5,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0039876406,0.0042421245,7.433917E-4,-1.4684637E-4,0.0,0.0
8.929121,8.929121,0.12022443,0.0,0.0,218.00113,11493.0,61.327534,0.0,1.2234025,0.0,5.0,0.0,0.0,3939451.8,105.0,16.0,0.0,0.0,3.8513925,0.0,0.0,-557.69653,-10.184268,456.94263,-0.60728216,0.37377605,0.28528532,219.07877,218.67474,218.39781,217.72801,737.0,737.0,631.0,632.0,91.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.023733772,0.019382887,0.010040323,0.0073708086,-3.495286,14.644382,27.436333,37.980194,-556.3808,-16.110924,797.47687,1008.2569,0.0,3306.4614,6751.078,3.0,3.0,2.498848,0.0023266154,3.247261E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004030858,0.00415047,7.9119706E-4,-1.3635571E-4,0.0,0.0
11.086865,11.086865,0.15450388,0.0,0.0,218.46707,11515.0,61.327534,0.0,0.95928645,0.0,5.0,0.0,0.0,3938582.5,105.0,16.0,0.0,0.0,3.8502953,0.0,0.0,-556.4087,-10.177541,455.21915,-0.50032777,0.37572238,0.3989957,219.41966,219.11046,218.80606,218.2338,735.0,735.0,629.0,630.0,91.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.025301058,0.021826953,0.010416005,0.008097659,28.720133,34.51255,-5.443013,-3.050539,907.58545,559.7338,-926.2898,-1155.9338,0.0,4138.267,8451.939,3.0,3.0,2.4963474,0.0023883616,-0.001611948,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.003677494,0.003836589,7.564716E-4,-1.4862337E-4,0.0,0.0
13.289782,13.289782,0.18999963,0.0,0.0,218.93832,11542.0,61.327534,0.0,0.6887708,0.0,5.0,0.0,0.0,3937696.0,105.0,16.0,0.0,0.0,3.8491771,0.0,0.0,-555.0891,-10.166788,453.46307,-0.37287772,0.36673915,-0.023389077,219.93921,219.70265,219.24422,218.77525,733.0,733.0,627.0,628.0,91.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.025961675,0.023144204,0.008433601,0.006741808,-8.771281,3.3564315,-33.6335,-20.720085,-1036.8877,-861.67456,-779.655,-488.68085,0.0,4984.228,10184.518,3.0,3.0,2.4943707,0.0030541117,-0.0010859966,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.003919611,0.0040414464,7.0063234E-4,-1.3607962E-4,0.0,0.0
15.512023,15.512023,0.22615726,0.0,0.0,219.40181,11571.0,61.327534,0.0,0.4113462,0.0,5.0,0.0,0.0,3936801.8,105.0,16.0,0.0,0.0,3.848051,0.0,0.0,-553.75433,-10.157867,451.69415,-0.28215125,0.36152968,-0.38139057,220.43932,220.29312,219.66388,219.27379,731.0,732.0,625.0,626.0,90.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.022195311,0.019842517,0.00782593,0.006591313,-49.581738,-49.171673,-1.0620118,2.7945585,-1121.2443,-1443.1799,894.88324,646.0516,0.0,5834.021,11928.588,3.0,3.0,2.492891,0.003054109,4.812479E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004295031,0.0044970983,7.079906E-4,-1.2681553E-4,0.0,0.0
17.781181,17.781181,0.26255473,0.0,0.0,219.87648,11593.0,61.327534,0.0,0.10386631,0.0,5.0,0.0,0.0,3935889.2,105.0,16.0,0.0,0.0,3.8469033,0.0,0.0,-552.38855,-10.153602,449.88986,-0.19784203,0.36173794,-0.2464736,220.81711,220.71713,220.09392,219.78558,730.0,730.0,622.0,623.0,90.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.021049548,0.019294823,0.0072959717,0.0065198336,-1.3284413,8.157519,-9.543991,-1.8408444,1301.0103,1545.7155,-228.69199,-124.980194,0.0,6698.474,13705.799,3.0,3.0,2.4918745,0.0031582986,7.658005E-4,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.004029458,0.004097133,6.9086393E-4,-1.3320503E-4,0.0,0.0
19.78532,19.78532,0.29964384,0.0,0.0,220.2894,11614.0,61.327534,0.0,-0.16639195,0.0,5.0,0.0,0.0,3935083.5,105.0,16.0,0.0,0.0,3.8458915,0.0,0.0,-551.18066,-10.151898,448.29745,-0.12263234,0.35681772,-0.05502333,221.20844,221.17407,220.48251,220.23709,728.0,728.0,620.0,621.0,90.0,81.0,89.0,78.0,1.0,1.0,1.0,1.0,0.021599373,0.019929018,0.0076617305,0.0070981053,5.031063,4.1622024,11.279908,12.832366,194.53693,-122.21656,637.0021,448.8528,0.0,7459.244,15272.238,3.0,3.0,2.4913905,0.0029883508,0.0013885498,92.0,92.0,92.0,92.0,21.5,21.5,23.0,23.0,0.0040469863,0.0041230815,7.265075E-4,-1.278819E-4,0.0,0.0
