"F1 2020 Telemetry of Silverstone Short - Mercedes - Time Trial - DRY 0","2022-05-26 01:23:54",82.638,22,1,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,10.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,12,0,0,18,1,20,10.0,9,13000.0,4300.0,false,30.0,21.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
0.9636149,0.9636149,0.0,0.0,0.0,120.73016,11321.0,33.331806,0.0,-0.36774278,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-559.7338,-10.2026615,465.23877,0.010737832,0.4081249,-0.03996676,121.198616,121.249565,120.74083,120.71517,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007567884,0.007427544,0.0017565752,0.0018819115,-2.9815679,-4.4386964,0.85511243,2.1294327,-67.72646,-184.17107,175.53894,91.82185,0.0,0.0,0.0,3.0,3.0,2.4525242,0.0066795195,0.0049391985,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.003959851,0.0041682236,1.7589032E-4,-2.617304E-4,0.0,0.0
2.0573149,2.0573149,0.032023616,0.0,0.0,121.19941,11365.0,33.331806,0.0,-0.5233824,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-559.0393,-10.200976,464.39508,0.028333286,0.4095834,0.007942583,121.64581,121.716225,121.195335,121.196434,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007555387,0.007405171,0.0018679103,0.0021059688,1.3122609,1.8370936,1.6853591,3.333668,132.03407,192.97884,25.52986,37.029907,0.0,0.0,0.0,3.0,3.0,2.4527566,0.006731764,0.005137086,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0038799194,0.004039761,1.7602446E-4,-2.6307034E-4,0.0,0.0
3.1676006,3.1676006,0.06454423,0.0,0.0,121.67238,11409.0,33.331806,0.0,-0.6149411,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-558.3346,-10.199102,463.53836,0.039800454,0.40676296,0.022662096,122.10798,122.193726,121.658035,121.67927,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007707412,0.0076848553,0.0019156928,0.0022271194,1.1060978,3.9117615,0.31612253,1.6043552,-6.269022,63.086662,-41.635853,-52.585075,0.0,0.0,0.0,3.0,3.0,2.4531202,0.0067654317,0.0052376986,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.003853742,0.003980198,1.7558092E-4,-2.6146258E-4,0.0,0.0
4.260682,4.260682,0.09743023,0.0,0.0,122.13354,11451.0,33.331806,0.0,-0.6363034,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-557.6409,-10.19726,462.6948,0.042448338,0.40447244,-0.03633168,122.56376,122.67113,122.11153,122.146034,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007547846,0.0075452384,0.0018238578,0.0022107349,-1.6654407,-2.671382,-1.9058144,-1.4020857,-85.9439,-204.13968,-68.901054,-93.228096,0.0,0.0,0.0,3.0,3.0,2.4535587,0.006458022,0.004962206,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0038614422,0.004067988,1.70878E-4,-2.5529324E-4,0.0,0.0
5.360859,5.360859,0.12967846,0.0,0.0,122.594284,11494.0,33.331806,0.0,-0.6363034,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-556.94324,-10.195754,461.8455,0.04844883,0.4029775,-0.022142412,123.01479,123.1284,122.56964,122.611115,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007656784,0.00751861,0.0017408988,0.0021485107,2.3050761,0.41102925,-0.7579162,-0.057787485,122.79923,95.33211,35.50193,41.576145,0.0,0.0,0.0,3.0,3.0,2.4540503,0.0062082177,0.004723668,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0037884004,0.003995461,1.7326589E-4,-2.5219773E-4,0.0,0.0
6.443802,6.443802,0.16201186,0.0,0.0,123.04227,11536.0,33.331806,0.0,-0.6363034,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-556.25696,-10.19431,461.00906,0.055090338,0.40163848,0.031110045,123.45753,123.56694,123.01615,123.05963,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007851981,0.00767591,0.0019254881,0.0023264603,2.6185184,3.3956878,2.6689095,3.4273682,9.883844,94.115906,108.05887,109.89819,0.0,0.0,0.0,3.0,3.0,2.454562,0.006314991,0.004782915,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0037491233,0.0038955326,1.815727E-4,-2.5853072E-4,0.0,0.0
7.5176754,7.5176754,0.19372445,0.0,0.0,123.48516,11577.0,33.331806,0.0,-0.6363034,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-555.5768,-10.192471,460.17935,0.057301406,0.39782143,0.06656051,123.89249,124.003685,123.45838,123.50199,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.007977154,0.008009122,0.002080357,0.0025710375,1.7080886,4.606575,4.0345173,2.977317,-29.05818,38.64788,43.586094,-14.364277,0.0,0.0,0.0,3.0,3.0,2.4550745,0.006141485,0.004494071,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0036922065,0.0038402337,1.8926841E-4,-2.5126856E-4,0.0,0.0
8.622692,8.622692,0.22505572,0.0,0.0,123.93878,11615.0,33.331806,0.0,-0.6088376,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-554.8774,-10.189534,459.32535,0.05696839,0.39809644,0.15035076,124.32282,124.431656,123.90927,123.952736,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.008318833,0.008392766,0.002556178,0.002899292,7.0187335,7.7958384,4.5076995,2.4771225,165.34529,99.29673,14.732382,-15.573402,0.0,0.0,0.0,3.0,3.0,2.4556005,0.0058397674,0.003590703,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.003522996,0.0036626547,1.9112909E-4,-2.4304465E-4,0.0,0.0
9.702592,9.702592,0.25717425,0.0,0.0,124.37211,11657.0,33.331806,0.0,-0.5966306,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-554.1943,-10.185462,458.49042,0.05501343,0.3922472,0.05364902,124.76152,124.86628,124.34367,124.385704,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.008671988,0.008741946,0.0022715952,0.0025665928,3.0257323,2.7813916,-6.293847,-6.66242,-127.66252,-160.31973,-345.3424,-292.20554,0.0,0.0,0.0,3.0,3.0,2.4561033,0.0058404105,0.0028817654,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0035262366,0.0036518793,1.7653963E-4,-2.5135998E-4,0.0,0.0
10.754621,10.754621,0.28845203,0.0,0.0,124.78983,11697.0,33.331806,0.0,-0.5966306,0.0,2.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,1.0,-553.52924,-10.181324,457.6767,0.05636758,0.38797018,-0.04593767,125.206085,125.30407,124.76394,124.80457,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0082193855,0.008453941,0.0019700273,0.00234928,-9.658192,-5.4796233,-3.8772414,-2.147125,-417.68384,-272.03668,79.579254,148.68945,0.0,0.0,0.0,3.0,3.0,2.456583,0.0058284486,0.0024991035,100.0,100.0,100.0,100.0,21.940994,21.940994,23.471762,23.471762,0.0037309427,0.0038060055,1.833224E-4,-2.3995606E-4,0.0,0.0
