"F1 2020 Telemetry of Silverstone Short - Mercedes - Short Q - WET 0","2022-05-26 01:36:42",78.380,22,2,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,8,0,3,7,1,10,5.0,9,13000.0,4300.0,false,24.0,19.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
0.91942656,0.91942656,0.0,0.0,0.0,127.023994,9440.0,19.046312,0.0,-3.7338853,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9665995,0.0,0.0,-558.7438,-10.21024,465.9976,0.44934347,0.044735484,-0.047170527,126.93157,127.58087,126.70628,127.41997,526.0,526.0,440.0,440.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.006051762,0.008856023,0.001089801,0.0033083418,0.7189652,-4.6273127,1.8067855,-2.4881878,-64.74765,-92.96573,195.00938,153.19977,0.0,664.6932,37.946705,3.0,3.0,2.5433884,0.008941925,0.006822467,65.0,63.0,68.0,65.0,20.791885,20.644508,22.423096,22.1832,0.0018849411,0.0017793627,2.658332E-4,3.166414E-4,0.0,0.0
1.9931039,1.9931039,0.030121129,0.0,0.0,127.14771,9458.0,22.618448,0.0,-3.3798754,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9661658,0.0,0.0,-558.14233,-10.207831,465.11218,0.41156843,0.12783499,0.011442585,127.15283,127.735344,126.86271,127.49941,526.0,525.0,440.0,439.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.0063220286,0.008811646,0.001258999,0.0033328985,6.353305,1.028259,2.4703329,0.6434414,185.83388,186.53416,21.885365,103.28855,0.0,1305.3456,129.53287,3.0,3.0,2.546779,0.008662926,0.0066592693,65.0,63.0,68.0,65.0,20.791504,20.644005,22.422735,22.182611,0.0023756644,0.0023098984,2.311773E-4,2.8357946E-4,0.0,0.0
3.0634804,3.0634804,0.060440358,0.0,0.0,127.325806,9476.0,24.602121,0.0,-3.1143665,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9657028,0.0,0.0,-557.54565,-10.205246,464.22742,0.36923152,0.17357126,0.024562905,127.39449,127.924416,127.07056,127.64284,525.0,525.0,439.0,439.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.006833458,0.008952795,0.0013205771,0.003272107,8.148595,1.4775358,0.75919545,-1.56961,59.460415,14.88015,-56.67326,-73.29676,0.0,1928.0873,230.83406,3.0,3.0,2.5497985,0.008316967,0.0063967705,65.0,63.0,68.0,65.0,20.791122,20.643503,22.422375,22.182024,0.0026299125,0.0026210097,2.1242003E-4,2.6151908E-4,0.0,0.0
4.17285,4.17285,0.090633385,0.0,0.0,127.683205,9526.0,32.538338,0.0,-2.8335989,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.965109,0.0,0.0,-556.9301,-10.202585,463.30835,0.32254732,0.35132718,-0.048248455,127.95324,128.44858,127.44316,127.96122,525.0,524.0,438.0,438.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.0069307177,0.008683016,0.0012287752,0.0030554251,2.7607353,-4.347192,-2.4519606,-4.405895,-172.47836,-186.46356,-102.79684,-90.79632,0.0,2507.3296,374.28568,3.0,3.0,2.552613,0.007865672,0.005967498,65.0,63.0,68.0,65.0,20.790724,20.642984,22.422003,22.181416,0.004008945,0.0041261995,1.2222446E-4,1.7981167E-4,0.0,0.0
5.2976584,5.2976584,0.12187127,0.0,0.0,128.20001,9578.0,38.09415,0.0,-2.6840627,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9644382,0.0,0.0,-556.30786,-10.200228,462.37515,0.30668432,0.48139563,-0.007379361,128.61136,129.01022,127.974594,128.44943,524.0,523.0,437.0,437.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.007338046,0.008793006,0.0012031096,0.0028320006,6.8218784,4.6700745,-0.26111433,-2.5478563,128.71764,285.8016,69.43871,58.89041,0.0,3046.9775,553.68225,3.0,3.0,2.5551953,0.0076926067,0.0056996346,65.0,63.0,68.0,65.0,20.790321,20.64246,22.421623,22.180801,0.004933263,0.004620052,6.697526E-5,1.2683174E-4,0.0,0.0
6.4143505,6.4143505,0.15342206,0.0,0.0,128.82112,9637.0,42.45823,0.0,-2.6138723,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9637246,0.0,0.0,-555.6926,-10.197815,461.4469,0.28764358,0.5773629,0.03420433,129.35323,129.73096,128.60655,129.05093,523.0,523.0,437.0,436.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.007752369,0.009157246,0.0012623055,0.0029084093,7.0918922,4.922037,1.5198288,1.2821294,8.657119,8.078367,57.100178,122.7961,0.0,3545.7708,765.32336,3.0,3.0,2.5575578,0.0073341033,0.0053111315,65.0,63.0,68.0,65.0,20.78992,20.641943,22.421247,22.180199,0.005743624,0.0054686996,3.599292E-5,9.0581496E-5,0.0,0.0
7.505145,7.505145,0.18461186,0.0,0.0,129.50974,9699.0,46.030365,0.0,-2.59251,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9629934,0.0,0.0,-555.0939,-10.195144,460.53857,0.2730807,0.65228486,0.034238394,130.15588,130.52396,129.29863,129.72646,523.0,522.0,436.0,435.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.008151886,0.009297575,0.0013468612,0.0029194038,5.3116446,1.7085475,1.2917974,0.8667686,-58.719746,-105.99384,-7.5213947,-13.700274,0.0,4003.3894,1005.32,3.0,3.0,2.5597432,0.0068418733,0.00475502,65.0,63.0,68.0,64.0,20.789532,20.641443,22.42088,22.17961,0.0065456936,0.0063136593,4.355447E-6,5.802513E-5,0.0,0.0
8.600237,8.600237,0.21492955,0.0,0.0,130.32744,9776.0,51.952393,0.0,-2.59251,0.0,3.0,0.0,0.0,4000000.0,102.0,16.0,0.0,0.0,3.9622102,0.0,0.0,-554.49493,-10.191669,459.62515,0.27352402,0.7874559,0.15750825,131.11641,131.47166,130.04712,130.53079,522.0,521.0,435.0,435.0,59.0,55.0,61.0,53.0,0.0,0.0,0.0,0.0,0.008765707,0.009694641,0.0018147714,0.0032778764,12.64613,9.874154,4.491617,3.7286587,242.32957,269.7896,105.72125,94.556145,0.0,4413.312,1297.4855,3.0,3.0,2.561872,0.006676042,0.0040477514,65.0,63.0,68.0,64.0,20.789143,20.640945,22.420511,22.179022,0.007637714,0.0073592993,-5.205525E-4,9.0499025E-6,0.0,0.0
9.684428,9.684428,0.24519612,0.0,0.0,131.30853,9890.0,60.936905,0.0,-2.59251,0.0,3.0,0.0,0.0,3999964.2,102.0,16.0,0.0,0.0,3.9613779,0.0,0.0,-553.9039,-10.187056,458.7194,0.25970876,0.96026933,0.07249806,132.51932,132.81834,131.00966,131.42151,521.0,521.0,434.0,434.0,59.0,55.0,60.0,53.0,0.0,0.0,0.0,0.0,0.009385809,0.010441829,0.0014713301,0.0029414275,7.844323,11.890163,-7.8893704,-7.997799,-161.33484,67.73546,-415.98608,-393.9947,0.0,4744.6055,1664.5139,3.0,3.0,2.563927,0.006620096,0.0033191442,65.0,63.0,68.0,64.0,20.78876,20.640457,22.420147,22.178444,0.010733993,0.010065747,-7.0568593E-4,-6.5994705E-4,0.0,0.0
10.781094,10.781094,0.27495912,0.0,0.0,132.44818,10087.0,73.04646,0.0,-2.59251,0.0,3.0,0.0,0.0,3999944.5,102.0,16.0,0.0,0.0,3.9604871,0.0,0.0,-553.3078,-10.182078,457.80206,0.23308042,1.0918304,-0.04680213,135.09671,135.31972,132.13351,132.54828,521.0,520.0,434.0,433.0,59.0,55.0,60.0,52.0,0.0,0.0,0.0,0.0,0.009302338,0.01037625,0.001189287,0.0024863407,-3.5502028,-4.646534,-3.019741,-7.02878,-381.5928,-553.7997,163.07968,32.451607,0.0,5209.1343,2148.8486,3.0,3.0,2.5659769,0.0061548534,0.0025440454,65.0,63.0,68.0,64.0,20.788376,20.639967,22.41978,22.177864,0.021352874,0.020024853,-8.015515E-4,-7.7710924E-4,0.0,0.0
