"F1 2020 Telemetry of Silverstone Short - Mercedes - One Shot Quali - WET 0","2022-05-30 21:05:13",80.742,22,1,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,9,0,3,7,1,10,5.0,9,13000.0,4300.0,false,25.0,19.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
2.3982143,2.3982143,0.0,0.0,0.0,237.76486,10928.0,100.0,0.0,2.508985,0.0,6.0,0.0,0.0,3955164.5,92.0,1.0,0.0,0.0,4.861357,0.0,0.0,-562.2864,-10.191852,461.66644,-0.68503934,0.75798696,-0.35000232,239.83855,239.57385,238.1843,237.60815,92.0,93.0,85.0,85.0,81.0,74.0,81.0,72.0,0.0,0.0,0.0,0.0,0.024997333,0.02259972,0.009735268,0.00740288,-42.331993,-43.776676,-8.473354,-20.492514,-419.24643,-1289.6185,-545.6362,-525.2977,0.0,0.0,1720.8623,3.0,3.0,2.526224,0.0057545747,0.0017367601,77.0,77.0,78.0,77.0,21.1,21.1,23.0,23.0,0.0076546124,0.008694873,5.9867935E-4,5.0302583E-4,0.0,0.0
5.341641,5.341641,0.044049285,0.0,0.0,238.94916,10986.0,100.0,0.0,5.7724833,0.0,6.0,0.0,0.0,3951702.5,92.0,1.0,0.0,0.0,4.859868,0.0,0.0,-560.59015,-10.187874,459.27228,-1.019658,0.7753763,-0.18669893,241.25758,240.70291,239.5752,238.57475,92.0,93.0,85.0,85.0,80.0,74.0,81.0,72.0,0.0,0.0,0.0,0.0,0.025231965,0.01957073,0.011377009,0.0069272323,9.846582,-39.175186,31.444178,-6.8784895,1177.5292,103.84318,900.8307,307.2317,0.0,0.0,5183.1064,3.0,3.0,2.520416,0.0020658541,-5.853176E-4,77.0,77.0,78.0,77.0,21.127302,21.096184,23.046106,23.004436,0.007832766,0.009446298,6.4675574E-4,5.8927335E-4,0.0,0.0
8.486859,8.486859,0.0883612,0.0,0.0,240.1682,11047.0,100.0,0.0,5.7694316,0.0,6.0,0.0,0.0,3948021.5,92.0,1.0,0.0,0.0,4.8582826,0.0,0.0,-558.759,-10.181245,456.72723,-1.1302179,0.70347464,-0.123209216,242.72246,241.9219,240.94467,239.65523,92.0,93.0,85.0,85.0,80.0,74.0,81.0,72.0,0.0,0.0,0.0,0.0,0.029136373,0.022719074,0.011894259,0.007395295,-7.0823107,-32.89084,1.6877714,-15.113038,-359.31955,133.38669,-631.58636,-174.78014,0.0,0.0,8864.269,3.0,3.0,2.5113904,8.070857E-4,-0.001060605,77.0,77.0,78.0,77.0,21.528118,21.495842,23.046362,23.004023,0.008193812,0.00979809,6.6475297E-4,5.890201E-4,0.0,0.0
11.393253,11.393253,0.13547496,0.0,0.0,241.31256,11076.0,100.0,0.0,5.5466533,0.0,6.0,0.0,0.0,3944636.0,92.0,1.0,0.0,0.0,4.856821,0.0,0.0,-557.0482,-10.172655,454.3886,-1.341074,0.76448643,0.53319335,243.45735,242.4846,242.14963,240.72385,92.0,93.0,85.0,85.0,80.0,74.0,81.0,72.0,0.0,0.0,0.0,0.0,0.031901944,0.025228702,0.013744091,0.008199392,75.42094,60.182938,13.346948,-4.5735283,1904.0181,2147.9658,269.0716,243.23184,0.0,0.0,12249.881,3.0,3.0,2.5016153,0.0012469708,-0.0036485195,77.0,77.0,78.0,77.0,21.52839,21.495592,23.046587,23.003635,0.0063911616,0.0077498304,7.248345E-4,6.14063E-4,0.0,0.0
14.370045,14.370045,0.1788061,0.0,0.0,242.37874,11157.0,100.0,0.0,4.4876814,0.0,6.0,0.0,0.0,3941184.0,92.0,1.0,0.0,0.0,4.8553286,0.0,0.0,-555.276,-10.15788,452.00778,-1.2657975,0.6609357,-0.47087127,245.14835,244.30038,243.1992,241.85263,92.0,93.0,85.0,85.0,81.0,74.0,81.0,72.0,0.0,0.0,0.0,0.0,0.031498734,0.025159493,0.01013145,0.0063813506,-67.179596,-52.61529,-53.916744,-23.821138,-3227.887,-2553.2861,-1522.5723,-435.6864,0.0,0.0,15701.637,3.0,3.0,2.491634,6.3110836E-4,-0.0029911995,77.0,77.0,78.0,77.0,21.528675,21.495337,23.046808,23.003239,0.008793235,0.01029133,6.9182814E-4,5.700205E-4,0.0,0.0
17.403162,17.403162,0.22298376,0.0,0.0,243.46416,11220.0,100.0,0.0,4.469371,0.0,6.0,0.0,0.0,3937681.5,92.0,1.0,0.0,0.0,4.853806,0.0,0.0,-553.4493,-10.151179,449.59674,-1.3779052,0.73117256,-0.38865766,246.58577,245.66797,244.26405,242.90096,92.0,93.0,85.0,85.0,81.0,74.0,80.0,71.0,0.0,0.0,0.0,0.0,0.027339164,0.018694738,0.012031247,0.006349854,-61.130222,-23.516397,40.143257,10.147437,134.94098,649.09753,2098.1592,757.7236,0.0,0.0,19204.344,3.0,3.0,2.4817412,2.3346892E-4,-0.0018590689,77.0,77.0,78.0,77.0,21.528961,21.495071,23.04702,23.002821,0.010590059,0.011871041,7.0492266E-4,5.749284E-4,0.0,0.0
20.401857,20.401857,0.26781353,0.0,0.0,244.60011,11240.0,100.0,0.0,4.5090437,0.0,6.0,0.0,0.0,3934233.5,92.0,1.0,0.0,0.0,4.8523035,0.0,0.0,-551.6208,-10.149056,447.22906,-1.4961506,0.70821244,0.048574157,246.97311,246.10907,245.40413,244.10011,92.0,93.0,85.0,85.0,81.0,74.0,80.0,71.0,0.0,0.0,0.0,0.0,0.032213267,0.023156963,0.011715106,0.0058034323,86.09616,24.102411,-14.061123,-7.7010503,3336.4197,1079.1295,-1228.3706,-404.47946,0.0,0.0,22652.145,3.0,3.0,2.4721706,-0.0014099827,-0.003296852,77.0,77.0,78.0,77.0,21.529243,21.494806,23.047222,23.002407,0.007262692,0.008498103,7.595898E-4,6.0916174E-4,0.0,0.0
23.495552,23.495552,0.31194058,0.0,0.0,245.67728,11296.0,100.0,0.0,4.734874,0.0,6.0,0.0,0.0,3930690.5,92.0,1.0,0.0,0.0,4.8507543,0.0,0.0,-549.7101,-10.148693,444.8038,-1.5107057,0.7172517,-0.092109546,248.24866,247.351,246.47804,245.14272,92.0,93.0,85.0,85.0,81.0,74.0,80.0,71.0,0.0,0.0,0.0,0.0,0.02984153,0.021516306,0.012946813,0.0069893925,-11.837191,-0.29909074,11.1823635,12.897298,-2159.7944,-538.14386,556.71277,454.27017,0.0,0.0,26195.016,3.0,3.0,2.4624496,-0.0016057438,-0.0028283596,77.0,77.0,78.0,77.0,21.529541,21.49453,23.04742,23.001976,0.008245439,0.009463811,7.6711253E-4,6.201483E-4,0.0,0.0
26.659925,26.659925,0.3572844,0.0,0.0,246.79068,11333.0,100.0,0.0,4.817271,0.0,6.0,0.0,0.0,3927081.0,92.0,1.0,0.0,0.0,4.8491716,0.0,0.0,-547.7297,-10.146779,442.34174,-1.5535817,0.68164223,0.2701652,249.03995,248.16151,247.61752,246.26466,92.0,93.0,85.0,85.0,81.0,74.0,80.0,71.0,0.0,0.0,0.0,0.0,0.03412375,0.024295649,0.013196276,0.008051413,47.70371,15.662166,-11.784536,14.758559,1288.9382,345.52844,-497.18625,40.29249,0.0,0.0,29804.293,3.0,3.0,2.4523463,-0.0049715396,-0.0067203045,77.0,77.0,78.0,77.0,21.529846,21.49425,23.047617,23.001534,0.0067578126,0.008115306,8.0857304E-4,6.6980626E-4,0.0,0.0
29.682795,29.682795,0.40347815,0.0,0.0,247.8168,11378.0,100.0,0.0,4.817271,0.0,6.0,0.0,0.0,3923645.5,93.0,1.0,0.0,0.0,4.8476605,0.0,0.0,-545.8129,-10.138181,440.00748,-1.568093,0.67863125,0.412165,250.0553,249.09439,248.65408,247.28587,92.0,93.0,85.0,85.0,81.0,74.0,80.0,71.0,0.0,0.0,0.0,0.0,0.035196476,0.026230084,0.014297237,0.008488474,-3.954764,50.978466,-5.983703,7.461656,-1174.9203,803.2339,131.93414,-165.96075,0.0,0.0,33239.637,3.0,3.0,2.442589,-0.0037876428,-0.006970763,77.0,77.0,78.0,77.0,21.530144,21.493979,23.047798,23.001104,0.0066630314,0.007747778,8.119494E-4,6.9240126E-4,0.0,0.0
