"F1 2020 Telemetry of Silverstone Short - Mercedes - Race - DRY 0","2022-05-30 21:34:32",93.092,22,2,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,10,0,0,18,1,3,5.0,9,13000.0,4300.0,false,30.0,22.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
90.45169,90.45169,0.0,0.0,0.0,0.017281389,4296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,84.0,6.0,0.0,0.0,4.0,0.0,0.0,-501.8887,-9.727806,396.78165,-0.051836025,0.008671386,0.011528952,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,2.8304514E-4,-9.138928E-4,-3.7295336E-4,3.5463043E-5,-1.3000424,-2.6809251,2.7284405,0.88230395,119.58096,111.38045,110.59585,90.148224,0.0,0.0,0.0,2.0,1.0,2.5200737,0.0056179864,-0.0017930269,84.0,84.0,89.0,89.0,20.667,20.667,22.842587,22.842587,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.37435836,6621.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,84.0,6.0,0.0,0.0,3.9994211,0.0,0.0,-501.8888,-9.722472,396.78174,0.007149022,-0.0097694425,-0.16944218,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0020403045,8.570732E-4,4.458567E-4,8.8412553E-4,-43.507214,-40.07779,-9.077834,-7.013981,-897.51666,-795.22766,-251.05515,-167.91098,0.0,0.0,0.0,1.0,1.0,2.5200503,0.0058865417,-7.5519085E-4,84.0,84.0,89.0,89.0,21.058735,21.058735,22.842546,22.842546,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.07353828,9142.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,84.0,6.0,0.0,0.0,3.998538,0.0,0.0,-501.8888,-9.7214575,396.78174,-0.004761361,0.03099927,-0.12917697,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,-4.521992E-4,-0.0013796759,-0.0011139831,-4.554545E-4,-15.200858,-12.850561,-8.319739,-6.0567007,597.4913,574.7131,16.001884,20.206295,0.0,0.0,0.0,1.0,1.0,2.520042,0.0060283756,-6.7174435E-4,84.0,84.0,89.0,89.0,21.058672,21.058672,22.842503,22.842503,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.01434576,11870.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9971812,0.0,0.0,-501.88876,-9.721982,396.78174,0.028474743,9.555271E-4,0.0060117827,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,-4.0170128E-4,-0.0014939455,-5.2900484E-4,3.2752519E-7,0.6899791,0.9173596,0.77822256,1.1485031,294.95627,255.55196,168.87094,133.73871,0.0,0.0,0.0,1.0,1.0,2.5200074,0.005898986,-7.2419643E-4,84.0,84.0,89.0,89.0,21.058594,21.058594,22.842445,22.842445,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.019093337,13013.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.995671,0.0,0.0,-501.88876,-9.721886,396.78174,0.043042596,0.008710739,-0.052736316,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,-4.1575573E-4,-0.0015752502,-4.9297116E-4,-1.765856E-5,0.28688836,-0.74645305,0.009826755,-0.7045827,-7.7471232,-31.977324,-14.768033,-35.61502,0.0,0.0,0.0,1.0,1.0,2.5200124,0.0058264052,-7.727146E-4,84.0,84.0,89.0,89.0,21.05851,21.05851,22.842382,22.842386,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.013451508,13000.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9942505,0.0,0.0,-501.88876,-9.722116,396.78174,0.008460558,-7.712653E-4,0.012450037,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,-3.9336775E-4,-0.0014613117,-4.7060402E-4,9.362286E-5,-1.2746534,4.5189867,-1.5076133,3.5245996,-31.230835,105.3088,-30.3488,84.58365,0.0,0.0,0.0,1.0,1.0,2.5200293,0.006124547,-5.327463E-4,84.0,84.0,89.0,89.0,21.05842,21.05842,22.84232,22.842321,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.010503832,13000.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9925637,0.0,0.0,-501.88876,-9.722163,396.78174,0.022927644,-0.00865039,0.007666559,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,84.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,-1.524193E-4,-0.0014041609,-3.932701E-4,1.3750115E-5,2.8899026,-0.9909667,0.9028817,-1.8514092,70.20951,-92.89133,40.638107,-90.63318,0.0,0.0,0.0,1.0,1.0,2.5200486,0.005668318,-9.406805E-4,84.0,84.0,89.0,89.0,21.058308,21.058308,22.842237,22.84224,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.042172365,13000.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9908457,0.0,0.0,-501.88876,-9.72217,396.78174,0.031983446,0.0103814835,-0.05970985,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,83.0,83.0,89.0,89.0,0.0,0.0,0.0,0.0,-1.972421E-4,-0.0013030918,-4.3735735E-4,9.376196E-5,-0.46050408,0.5188994,-0.26312172,0.67536825,-55.45355,24.990229,-19.29886,41.821423,0.0,0.0,0.0,1.0,1.0,2.5200598,0.0059703887,-6.6387653E-4,84.0,84.0,89.0,89.0,21.058182,21.058182,22.842148,22.842148,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.01399258,13000.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9891806,0.0,0.0,-501.88876,-9.722291,396.78174,0.005339389,0.016579835,-0.020828066,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,83.0,83.0,88.0,88.0,0.0,0.0,0.0,0.0,-3.7826663E-5,-0.0012703468,-3.1326583E-4,1.1594238E-4,-0.41491637,1.1204667,-0.8958133,0.43055445,0.77864534,10.274864,-10.806471,-4.181458,0.0,0.0,0.0,1.0,1.0,2.5200675,0.0058401464,-7.840395E-4,84.0,84.0,89.0,89.0,21.058052,21.058052,22.842052,22.842054,0.0,0.0,0.0,0.0,0.0,0.0
90.45169,90.45169,0.0,0.0,0.0,0.010641861,13000.0,100.0,0.0,-0.3585875,0.0,0.0,0.0,0.0,4000000.0,85.0,6.0,0.0,0.0,3.9875548,0.0,0.0,-501.88876,-9.722239,396.78174,-0.0021668044,0.0015707215,-9.7489356E-5,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,83.0,83.0,88.0,88.0,0.0,0.0,0.0,0.0,-6.1851504E-5,-0.0012856754,-3.5444956E-4,8.512309E-5,-1.192813,0.72891796,-1.1099552,0.5202889,-13.609116,-6.850052,-3.7463613,1.5698824,0.0,0.0,0.0,1.0,1.0,2.5200784,0.0058807544,-7.5268745E-4,84.0,84.0,89.0,89.0,21.057917,21.057917,22.841955,22.841957,0.0,0.0,0.0,0.0,0.0,0.0
