"F1 2020 Telemetry of Silverstone Short - Mercedes - Race - DRY 0","2022-05-31 23:27:25",68.116,22,3,"v7"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FLTyrePressure, FRTyrePressure, RLTyrePressure, RRTyrePressure,Ballast,FuelLoad
5.0,6.0,65.0,0.0,-3.0,5.0,0.10000000894069672,0.3500000238418579,5.0,3.0,6.0,5.0,5.0,7.0,100.0,58.0,23.0,23.0,21.5,21.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp, Windspeed, WindDirection
22,2990.0,10,0,0,18,3,3,5.0,9,13000.0,4300.0,false,30.0,21.0,0.0,0.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch,TyreCarcassTemperatureRearLeft,TyreCarcassTemperatureRearRight,TyreCarcassTemperatureFrontLeft,TyreCarcassTemperatureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,WheelSlipRearLeft,WheelSlipRearRight,WheelSlipFrontLeft,WheelSlipFrontRight,Torque,Handbrake
1.7788086,5982.4673,0.0,0.0,0.0,181.27847,11186.0,73.04646,0.0,-4.3656054,0.0,4.0,0.0,0.0,3990486.0,111.0,17.0,0.0,0.0,2.1038344,3.0,0.0,-556.965,-10.223151,466.21222,0.6118146,0.7535123,-0.06897271,182.03287,182.63455,180.93242,181.59645,554.0,554.0,461.0,462.0,82.0,77.0,85.0,72.0,2.0,1.0,2.0,1.0,0.013729487,0.01697913,6.752615E-4,0.003323193,-3.3735197,-2.630934,-2.7649822,0.35058263,54.905037,-3.5275505,-30.225517,-4.063434,0.0,375.4944,654.1487,1.0,1.0,2.4529285,0.009682965,0.0051962137,89.0,85.0,92.0,82.0,21.343216,21.107872,23.029585,22.34787,0.006160127,0.005533812,2.0789179E-4,-3.363874E-4,0.0,0.0
4.169922,5984.8584,0.04584587,0.0,0.0,182.52222,11260.0,73.04646,0.0,-4.747081,0.0,4.0,0.0,0.0,3989911.5,111.0,17.0,0.0,0.0,2.1025903,3.0,0.0,-555.4518,-10.219041,464.36444,0.69024754,0.74408853,0.018612074,183.23055,183.86519,182.14586,182.86967,553.0,553.0,460.0,460.0,82.0,77.0,85.0,72.0,2.0,1.0,2.0,1.0,0.01358096,0.017293384,8.168511E-4,0.0038911204,-0.8589251,7.3254685,0.18605027,7.616307,53.211563,210.68834,62.447063,153.75066,0.0,1149.444,2002.7026,1.0,1.0,2.459227,0.010037136,0.0055885315,89.0,85.0,92.0,82.0,21.342546,21.10713,23.029053,22.347174,0.0060530454,0.005286986,2.301176E-4,-3.2458716E-4,0.0,0.0
6.713867,5987.4023,0.09310241,0.0,0.0,183.8128,11338.0,73.04646,0.0,-5.2384195,0.0,4.0,0.0,0.0,3989304.5,111.0,17.0,0.0,0.0,2.1012716,3.0,0.0,-553.856,-10.213959,462.388,0.75611955,0.73079515,0.04747111,184.46962,185.16208,183.3971,184.2002,552.0,551.0,458.0,458.0,82.0,77.0,85.0,72.0,2.0,1.0,2.0,1.0,0.014212122,0.017937027,8.56369E-4,0.004078293,6.185938,6.1763678,0.5172484,1.1813693,141.1148,-23.017502,6.6341906,-128.89748,0.0,1966.7861,3427.3467,1.0,1.0,2.4664924,0.00995621,0.005244732,89.0,85.0,92.0,82.0,21.341839,21.106354,23.028479,22.346441,0.0059251664,0.005075513,2.4098452E-4,-3.2239227E-4,0.0,0.0
9.537598,5990.226,0.14302532,0.0,0.0,185.2097,11419.0,73.04646,0.0,-5.143815,0.0,4.0,0.0,0.0,3988635.2,111.0,17.0,0.0,0.0,2.0998137,3.0,0.0,-552.1031,-10.206165,460.18192,0.8232687,0.7196581,0.25714368,185.79376,186.53406,184.76845,185.62111,550.0,550.0,456.0,456.0,82.0,77.0,85.0,72.0,2.0,1.0,2.0,1.0,0.01474552,0.018777851,0.001498364,0.0048544877,11.6960335,10.360033,6.594119,5.1453986,100.22746,76.09998,110.53699,72.10485,0.0,2866.439,4996.187,1.0,1.0,2.4750683,0.009551348,0.0039361715,89.0,85.0,92.0,82.0,21.341059,21.105513,23.027836,22.345634,0.0056727305,0.004821217,2.6991023E-4,-3.025446E-4,0.0,0.0
12.385742,5993.074,0.19800124,0.0,0.0,186.57896,11504.0,73.04646,0.0,-5.143815,0.0,4.0,0.0,0.0,3987964.5,111.0,17.0,0.0,0.0,2.0983493,3.0,0.0,-550.3543,-10.19269,457.94235,0.7886562,0.70280993,0.023241932,187.20328,187.93901,186.1445,186.9939,548.0,548.0,454.0,454.0,82.0,78.0,85.0,72.0,2.0,1.0,2.0,1.0,0.015603107,0.019985417,5.738975E-4,0.004125562,4.589787,1.8061066,-8.293532,-9.549354,-129.1428,-155.4517,-270.55536,-267.04977,0.0,3766.3052,6566.4644,1.0,1.0,2.4839098,0.009069157,0.0026996136,89.0,85.0,92.0,82.0,21.340271,21.104683,23.027182,22.34483,0.0057289694,0.004924556,2.2266302E-4,-2.9202746E-4,0.0,0.0
14.992676,5995.681,0.2530275,0.0,0.0,187.79028,11585.0,73.04646,0.0,-4.8660994,0.0,4.0,0.0,0.0,3987351.8,111.0,17.0,0.0,0.0,2.097015,3.0,0.0,-548.7705,-10.180687,455.8807,0.79387754,0.6866549,-0.16982001,188.53838,189.21834,187.37364,188.1892,547.0,547.0,452.0,452.0,82.0,78.0,84.0,72.0,2.0,1.0,2.0,1.0,0.013917428,0.018193752,4.973372E-4,0.004077728,-22.20817,-18.462315,-1.5225983,2.786694,-535.9591,-405.3684,135.41869,246.72096,0.0,4580.5186,7993.308,1.0,1.0,2.4916492,0.009088188,0.0038330555,89.0,85.0,92.0,82.0,21.33956,21.103943,23.026577,22.3441,0.0063138,0.0053600394,2.5676834E-4,-2.8601495E-4,0.0,0.0
18.38623,5999.0747,0.3030275,0.0,0.0,189.33961,11677.0,73.04646,0.0,-4.0482163,0.0,4.0,0.0,0.0,3986553.8,111.0,17.0,0.0,0.0,2.0952873,3.0,0.0,-546.73083,-10.170455,453.18088,0.732188,0.6711,-0.15861478,190.10379,190.71127,188.88849,189.68031,545.0,545.0,450.0,450.0,82.0,78.0,84.0,72.0,2.0,1.0,2.0,1.0,0.013785632,0.017468158,3.0359544E-4,0.0035214536,-1.9752628,-2.1761847,1.842895,1.9072868,313.24078,252.13777,52.103725,-13.614763,0.0,5626.099,9836.566,1.0,1.0,2.500742,0.008119936,0.0039049387,89.0,85.0,92.0,82.0,21.338634,21.103,23.025776,22.343163,0.005983905,0.0053098793,-2.8531803E-4,-2.6892914E-4,0.0,0.0
21.032715,6001.721,0.3676197,0.0,0.0,190.51476,11745.0,73.04646,0.0,-3.0899525,0.0,4.0,0.0,0.0,3985931.2,111.0,17.0,0.0,0.0,2.093948,3.0,0.0,-545.15643,-10.165137,451.06415,0.63835806,0.6649611,-0.07460204,191.23006,191.80167,190.11543,190.79816,543.0,543.0,448.0,448.0,82.0,78.0,84.0,72.0,2.0,1.0,2.0,1.0,0.014247653,0.017561076,0.0011121848,0.004036166,6.1690063,-4.3713675,3.8965733,-3.9517136,162.88538,-43.903656,41.073566,-117.18001,0.0,6430.563,11263.41,1.0,1.0,2.5068233,0.00693168,0.0032887459,89.0,85.0,92.0,82.0,21.337915,21.10228,23.025145,22.342436,0.005468982,0.005151657,-2.891822E-4,-2.6447553E-4,0.0,0.0
23.6958,6004.3843,0.4176197,0.0,0.0,191.66582,11815.0,73.04646,0.0,-2.7481496,0.0,4.0,0.0,0.0,3985304.5,111.0,17.0,0.0,0.0,2.092607,3.0,0.0,-543.58453,-10.160987,448.92545,0.5764861,0.648388,-0.03493169,192.42746,192.92084,191.32045,191.9069,542.0,542.0,446.0,446.0,82.0,78.0,84.0,72.0,2.0,1.0,2.0,1.0,0.014929968,0.018136432,0.0011565863,0.0038653472,2.2970886,3.504269,3.2970262,2.2535305,-77.438354,157.51273,-11.990943,124.10488,0.0,7230.7837,12690.254,1.0,1.0,2.5120168,0.0064314,0.003335476,89.0,85.0,92.0,82.0,21.337196,21.101572,23.024504,22.341711,0.0054112244,0.0051436406,-2.7071364E-4,-2.5672375E-4,0.0,0.0
27.234375,6007.923,0.46761972,0.0,0.0,193.14642,11900.0,73.04646,0.0,-2.8000295,0.0,4.0,0.0,0.0,3984470.8,111.0,17.0,0.0,0.0,2.090839,3.0,0.0,-541.51324,-10.154149,446.07056,0.5402278,0.6304507,0.17016225,193.81339,194.29613,192.80753,193.37466,540.0,540.0,444.0,444.0,82.0,78.0,84.0,72.0,2.0,1.0,2.0,1.0,0.016587289,0.019840904,0.0019105104,0.00429477,13.255277,15.5018,-1.2662148,-2.7300308,166.05846,181.80849,-69.15056,-75.52002,0.0,8280.365,14573.401,1.0,1.0,2.5183728,0.006170085,0.001863718,89.0,85.0,92.0,82.0,21.336243,21.10065,23.02364,22.340755,0.0048726215,0.0046368195,-2.6193287E-4,-2.5804134E-4,0.0,0.0
