event time,event
0.0,0.0
6476.009,6.0
6476.009,6.0
6476.009,6.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
7545.973,7.0
9410.858,2.0
9410.858,2.0
9410.858,2.0
15946.975999999999,10.0
15999.564,10.0
15999.564,10.0
24441.344999999998,4.0
24492.144,4.0
24542.406,4.0
24592.529,4.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29314.758,7.0
29719.968999999997,7.0
29719.968999999997,7.0
29719.968999999997,7.0
29719.968999999997,7.0
29719.968999999997,7.0
35140.909,7.0
35190.907,7.0
35240.985,7.0
35290.721,7.0
35342.299,7.0
35393.396,7.0
35393.396,7.0
35393.396,7.0
35545.737,7.0
35545.737,7.0
35545.737,7.0
35701.652,7.0
35701.652,7.0
35701.652,7.0
35701.652,7.0
35701.652,7.0
35701.652,7.0
35701.652,7.0
43855.04,2.0
43855.04,2.0
56650.216,4.0
56699.139,4.0
56748.511,4.0
56798.703,4.0
94095.53300000001,5.0
94095.53300000001,5.0
94095.53300000001,5.0
94095.53300000001,5.0
94095.53300000001,5.0
123832.729,2.0
123832.729,2.0
123832.729,2.0
169368.754,2.0
169368.754,2.0
169368.754,2.0
169521.66,2.0
182189.155,1.0
182189.155,1.0
182189.155,1.0
203638.81100000002,10.0
203638.81100000002,10.0
203638.81100000002,10.0
203638.81100000002,10.0
203840.684,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
205406.78,10.0
207836.746,5.0
207888.168,5.0
207888.168,5.0
207888.168,5.0
207888.168,5.0
207888.168,5.0
209513.919,5.0
209565.94,5.0
209615.878,5.0
209666.77899999998,5.0
209666.77899999998,5.0
209767.704,5.0
215711.147,7.0
215711.147,7.0
215711.147,7.0
215711.147,7.0
215711.147,7.0
215711.147,7.0
218618.37600000002,10.0
218618.37600000002,10.0
218721.318,10.0
218772.287,10.0
218827.258,10.0
218827.258,10.0
