dateTime;value;bpm;confidence;;hora gtm
08-18-2021;17:41:37;77;0};;22:41:37
08-18-2021;17:41:42;76;0};;
08-18-2021;17:41:47;71;1};;
08-18-2021;17:41:52;73;1};;
08-18-2021;17:41:57;72;1};;
08-18-2021;17:49:24;67;0};;
08-18-2021;17:49:29;66;0};;
08-18-2021;17:49:39;69;1};;
08-18-2021;17:49:44;73;1};;
08-18-2021;17:49:49;78;1};;
08-18-2021;17:49:54;80;1};;
08-18-2021;17:49:59;77;1};;
08-18-2021;17:50:04;80;1};;
08-18-2021;17:50:09;79;1};;
08-18-2021;17:50:14;78;1};;
08-18-2021;17:50:19;81;1};;
08-18-2021;17:50:24;78;1};;
08-18-2021;17:50:29;75;1};;
08-18-2021;17:50:34;74;1};;
08-18-2021;17:50:39;73;1};;
08-18-2021;17:50:44;72;2};;
08-18-2021;17:50:49;70;2};;
08-18-2021;17:50:54;71;1};;
08-18-2021;17:51:09;71;1};;
08-18-2021;17:51:24;71;1};;
08-18-2021;17:51:39;73;1};;
08-18-2021;17:51:44;78;2};;
08-18-2021;17:51:49;76;1};;
08-18-2021;17:51:54;75;1};;
08-18-2021;17:51:59;78;1};;
08-18-2021;17:52:04;77;1};;
08-18-2021;17:52:09;77;2};;
08-18-2021;17:52:14;76;2};;
08-18-2021;17:52:19;73;1};;
08-18-2021;17:52:24;72;1};;
08-18-2021;17:52:29;73;2};;
08-18-2021;17:52:34;75;1};;
08-18-2021;17:52:39;76;1};;
08-18-2021;17:52:44;75;1};;
08-18-2021;17:52:49;77;1};;
08-18-2021;17:53:04;77;1};;
08-18-2021;17:53:09;72;1};;
08-18-2021;17:53:14;69;3};;
08-18-2021;17:53:19;69;1};;
08-18-2021;17:53:24;70;1};;
08-18-2021;17:53:34;71;1};;
08-18-2021;17:53:44;72;1};;
08-18-2021;17:53:54;74;1};;
08-18-2021;17:53:59;77;1};;
08-18-2021;17:54:04;78;2};;
08-18-2021;17:54:14;76;2};;
08-18-2021;17:54:19;75;2};;
08-18-2021;17:54:29;74;2};;
08-18-2021;17:54:34;74;3};;
08-18-2021;17:54:44;74;2};;
08-18-2021;17:54:49;75;1};;
08-18-2021;17:54:54;76;1};;
08-18-2021;17:54:59;80;1};;
08-18-2021;17:55:04;76;1};;
08-18-2021;17:55:09;76;2};;
08-18-2021;17:55:14;75;1};;
08-18-2021;17:55:19;74;1};;
08-18-2021;17:55:24;73;1};;
08-18-2021;17:55:33;73;1};;
08-18-2021;17:55:38;74;2};;
08-18-2021;17:55:43;71;0};;
08-18-2021;17:55:48;70;0};;
08-18-2021;17:55:58;70;1};;
08-18-2021;17:56:13;70;1};;
08-18-2021;17:56:28;74;2};;
08-18-2021;17:56:33;68;2};;
08-18-2021;17:56:38;67;2};;
08-18-2021;17:56:53;67;2};;
08-18-2021;17:56:58;67;1};;
08-18-2021;17:57:08;70;2};;
08-18-2021;17:57:13;74;3};;
08-18-2021;17:57:23;75;3};;
08-18-2021;17:57:28;75;2};;
08-18-2021;17:57:43;75;2};;
08-18-2021;17:57:58;75;2};;
08-18-2021;17:58:13;75;2};;
08-18-2021;17:58:18;75;1};;
08-18-2021;17:58:33;75;1};;
08-18-2021;17:58:48;75;1};;
08-18-2021;17:58:58;77;1};;
08-18-2021;17:59:03;78;1};;
08-18-2021;17:59:08;78;2};;
08-18-2021;17:59:13;79;2};;
08-18-2021;17:59:18;80;2};;
08-18-2021;17:59:23;81;2};;
08-18-2021;17:59:28;81;1};;
08-18-2021;17:59:43;81;1};;
08-18-2021;17:59:48;84;1};;
08-18-2021;17:59:53;86;1};;
08-18-2021;17:59:58;87;1};;
08-18-2021;18:00:03;90;1};;
08-18-2021;18:00:08;93;1};;
08-18-2021;18:00:13;95;1};;
08-18-2021;18:00:23;95;2};;
08-18-2021;18:00:28;98;1};;
08-18-2021;18:00:33;99;2};;
08-18-2021;18:00:38;100;2};;
08-18-2021;18:00:43;101;1};;
08-18-2021;18:00:48;103;1};;
08-18-2021;18:01:03;103;1};;
08-18-2021;18:01:18;104;1};;
08-18-2021;18:01:28;106;1};;
08-18-2021;18:01:33;88;1};;
08-18-2021;18:01:38;87;1};;
08-18-2021;18:01:53;86;1};;
08-18-2021;18:01:58;84;1};;
08-18-2021;18:02:03;87;1};;
08-18-2021;18:02:08;86;1};;
08-18-2021;18:02:13;89;1};;
