dateTime;;Time;Value;confidence;;hora gtm
08-18-2021;;20:38:30;58;1};;
08-18-2021;;20:38:45;59;1};;
08-18-2021;;20:38:55;58;1};;
08-18-2021;;20:39:05;61;1};;
08-18-2021;;20:39:10;62;1};;
08-18-2021;;20:39:15;63;1};;
08-18-2021;;20:39:20;62;1};;
08-18-2021;;20:39:25;61;1};;
08-18-2021;;20:39:30;61;1};;
08-18-2021;;20:39:35;64;1};;
08-18-2021;;20:39:40;65;1};;
08-18-2021;;20:39:45;63;1};;
08-18-2021;;20:39:55;61;1};;
08-18-2021;;20:40:10;61;1};;
08-18-2021;;20:40:15;61;2};;
08-18-2021;;20:40:25;62;2};;
08-18-2021;;20:40:30;63;2};;
08-18-2021;;20:40:40;63;1};;
08-18-2021;;20:40:45;62;1};;
08-18-2021;;20:40:50;63;1};;
08-18-2021;;20:40:55;65;1};;
08-18-2021;;20:41:00;67;1};;
08-18-2021;;20:41:05;71;1};;
08-18-2021;;20:41:10;75;1};;
08-18-2021;;20:41:15;74;1};;
08-18-2021;;20:41:20;76;1};;
08-18-2021;;20:41:25;74;1};;
08-18-2021;;20:41:30;75;1};;
08-18-2021;;20:41:45;73;1};;
08-18-2021;;20:41:50;78;1};;
08-18-2021;;20:41:55;77;1};;
08-18-2021;;20:42:05;76;1};;
