event time,event
0.0,0.0
4142.271,6.0
4142.271,6.0
4142.271,6.0
5082.999,7.0
5082.999,7.0
5082.999,7.0
5082.999,7.0
5301.875,7.0
5357.842,7.0
5408.813,7.0
5464.78,7.0
5464.78,7.0
5464.78,7.0
5464.78,7.0
5464.78,7.0
6572.148999999999,10.0
6572.148999999999,10.0
6572.148999999999,10.0
6726.059,10.0
8626.851999999999,3.0
8626.851999999999,3.0
8830.872,3.0
8830.872,3.0
8830.872,3.0
11195.999,4.0
11195.999,4.0
11195.999,4.0
11195.999,4.0
31448.517,7.0
31448.517,7.0
31551.13,7.0
31601.102000000003,7.0
31650.888,7.0
31701.563000000002,7.0
31751.44,7.0
31802.412,7.0
31857.391,7.0
31908.352,7.0
31964.318,7.0
31964.318,7.0
32064.26,7.0
