da;eTime;Time;Value;;;
9/02/2021 0:00;6:46:52;17:16:52;87;confidence;2};10:30:00
9/02/2021 0:00;6:46:57;17:16:57;77;confidence;2};10:30:00
9/02/2021 0:00;6:47:02;17:17:02;73;confidence;2};10:30:00
9/02/2021 0:00;6:47:07;17:17:07;74;confidence;2};10:30:00
9/02/2021 0:00;6:47:12;17:17:12;73;confidence;2};10:30:00
9/02/2021 0:00;6:47:17;17:17:17;71;confidence;2};10:30:00
9/02/2021 0:00;6:47:22;17:17:22;68;confidence;2};10:30:00
9/02/2021 0:00;6:47:27;17:17:27;66;confidence;1};10:30:00
9/02/2021 0:00;6:47:32;17:17:32;70;confidence;2};10:30:00
9/02/2021 0:00;6:47:37;17:17:37;76;confidence;2};10:30:00
9/02/2021 0:00;6:47:42;17:17:42;76;confidence;1};10:30:00
9/02/2021 0:00;6:47:47;17:17:47;77;confidence;1};10:30:00
9/02/2021 0:00;6:47:52;17:17:52;78;confidence;1};10:30:00
9/02/2021 0:00;6:47:57;17:17:57;79;confidence;1};10:30:00
9/02/2021 0:00;6:48:02;17:18:02;81;confidence;1};10:30:00
9/02/2021 0:00;6:48:07;17:18:07;77;confidence;1};10:30:00
9/02/2021 0:00;6:48:12;17:18:12;75;confidence;1};10:30:00
9/02/2021 0:00;6:48:17;17:18:17;71;confidence;1};10:30:00
9/02/2021 0:00;6:48:22;17:18:22;69;confidence;1};10:30:00
9/02/2021 0:00;6:48:27;17:18:27;67;confidence;1};10:30:00
9/02/2021 0:00;6:48:32;17:18:32;69;confidence;1};10:30:00
9/02/2021 0:00;6:48:37;17:18:37;73;confidence;1};10:30:00
9/02/2021 0:00;6:48:52;17:18:52;71;confidence;1};10:30:00
9/02/2021 0:00;6:49:02;17:19:02;70;confidence;1};10:30:00
9/02/2021 0:00;6:49:07;17:19:07;68;confidence;1};10:30:00
9/02/2021 0:00;6:49:17;17:19:17;69;confidence;2};10:30:00
9/02/2021 0:00;6:49:22;17:19:22;70;confidence;1};10:30:00
9/02/2021 0:00;6:49:27;17:19:27;68;confidence;1};10:30:00
9/02/2021 0:00;6:49:32;17:19:32;67;confidence;1};10:30:00
9/02/2021 0:00;6:49:42;17:19:42;68;confidence;1};10:30:00
9/02/2021 0:00;6:49:47;17:19:47;69;confidence;1};10:30:00
9/02/2021 0:00;6:49:52;17:19:52;70;confidence;1};10:30:00
9/02/2021 0:00;6:50:02;17:20:02;71;confidence;1};10:30:00
9/02/2021 0:00;6:50:07;17:20:07;72;confidence;1};10:30:00
9/02/2021 0:00;6:50:17;17:20:17;69;confidence;1};10:30:00
9/02/2021 0:00;6:50:22;17:20:22;67;confidence;1};10:30:00
9/02/2021 0:00;6:50:32;17:20:32;66;confidence;1};10:30:00
9/02/2021 0:00;6:50:37;17:20:37;67;confidence;1};10:30:00
9/02/2021 0:00;6:50:52;17:20:52;69;confidence;1};10:30:00
9/02/2021 0:00;6:50:57;17:20:57;70;confidence;1};10:30:00
9/02/2021 0:00;6:51:02;17:21:02;69;confidence;1};10:30:00
9/02/2021 0:00;6:51:07;17:21:07;68;confidence;1};10:30:00
9/02/2021 0:00;6:51:12;17:21:12;69;confidence;1};10:30:00
9/02/2021 0:00;6:51:22;17:21:22;68;confidence;1};10:30:00
9/02/2021 0:00;6:51:32;17:21:32;67;confidence;1};10:30:00
9/02/2021 0:00;6:51:47;17:21:47;67;confidence;1};10:30:00
9/02/2021 0:00;6:52:02;17:22:02;67;confidence;1};10:30:00
9/02/2021 0:00;6:52:07;17:22:07;68;confidence;1};10:30:00
9/02/2021 0:00;6:52:12;17:22:12;73;confidence;1};10:30:00
9/02/2021 0:00;6:52:17;17:22:17;74;confidence;1};10:30:00
9/02/2021 0:00;6:52:22;17:22:22;73;confidence;1};10:30:00
9/02/2021 0:00;6:52:27;17:22:27;72;confidence;1};10:30:00
9/02/2021 0:00;6:52:32;17:22:32;71;confidence;1};10:30:00
9/02/2021 0:00;6:52:37;17:22:37;68;confidence;1};10:30:00
9/02/2021 0:00;6:52:47;17:22:47;66;confidence;1};10:30:00
9/02/2021 0:00;6:53:02;17:23:02;66;confidence;1};10:30:00
9/02/2021 0:00;6:53:12;17:23:12;67;confidence;1};10:30:00
9/02/2021 0:00;6:53:17;17:23:17;68;confidence;1};10:30:00
9/02/2021 0:00;6:53:22;17:23:22;71;confidence;1};10:30:00
9/02/2021 0:00;6:53:27;17:23:27;70;confidence;2};10:30:00
9/02/2021 0:00;6:53:32;17:23:32;69;confidence;2};10:30:00
9/02/2021 0:00;6:53:37;17:23:37;68;confidence;2};10:30:00
9/02/2021 0:00;6:53:42;17:23:42;68;confidence;1};10:30:00
9/02/2021 0:00;6:53:47;17:23:47;69;confidence;1};10:30:00
9/02/2021 0:00;6:53:52;17:23:52;70;confidence;1};10:30:00
9/02/2021 0:00;6:53:57;17:23:57;70;confidence;2};10:30:00
9/02/2021 0:00;6:54:02;17:24:02;70;confidence;1};10:30:00
9/02/2021 0:00;6:54:12;17:24:12;69;confidence;1};10:30:00
9/02/2021 0:00;6:54:27;17:24:27;69;confidence;1};10:30:00
9/02/2021 0:00;6:54:32;17:24:32;70;confidence;1};10:30:00
9/02/2021 0:00;6:54:37;17:24:37;69;confidence;1};10:30:00
9/02/2021 0:00;6:54:47;17:24:47;69;confidence;2};10:30:00
9/02/2021 0:00;6:54:52;17:24:52;71;confidence;1};10:30:00
