dateTime;;Time;Value;
08-30-2021;;19:34:08;69;confidence:0}
08-30-2021;;19:46:54;69;confidence:0}
08-30-2021;;19:46:59;70;confidence:0}
08-30-2021;;19:47:20;70;confidence:0}
08-30-2021;;19:47:25;71;confidence:0}
08-30-2021;;19:47:35;72;confidence:1}
08-30-2021;;19:47:40;76;confidence:1}
08-30-2021;;19:47:45;79;confidence:1}
08-30-2021;;19:47:50;80;confidence:1}
08-30-2021;;19:47:55;83;confidence:1}
08-30-2021;;19:48:00;80;confidence:1}
08-30-2021;;19:48:05;73;confidence:1}
08-30-2021;;19:48:10;70;confidence:1}
08-30-2021;;19:48:15;70;confidence:2}
08-30-2021;;19:48:20;71;confidence:2}
08-30-2021;;19:48:30;70;confidence:1}
08-30-2021;;19:48:35;71;confidence:1}
08-30-2021;;19:48:40;73;confidence:1}
08-30-2021;;19:50:50;74;confidence:0}
08-30-2021;;19:50:55;66;confidence:0}
08-30-2021;;19:51:03;66;confidence:0}
08-30-2021;;19:51:13;63;confidence:0}
08-30-2021;;19:51:18;61;confidence:1}
08-30-2021;;19:51:23;73;confidence:1}
08-30-2021;;19:51:28;75;confidence:1}
08-30-2021;;19:51:33;79;confidence:1}
08-30-2021;;19:51:38;80;confidence:1}
08-30-2021;;19:51:43;78;confidence:1}
08-30-2021;;19:51:53;80;confidence:1}
08-30-2021;;19:51:58;79;confidence:1}
08-30-2021;;19:52:03;80;confidence:1}
08-30-2021;;19:52:08;80;confidence:3}
08-30-2021;;19:52:13;80;confidence:1}
08-30-2021;;19:52:18;82;confidence:1}
08-30-2021;;19:52:28;77;confidence:3}
08-30-2021;;19:52:33;74;confidence:1}
08-30-2021;;19:52:48;75;confidence:1}
08-30-2021;;19:53:03;76;confidence:1}
08-30-2021;;19:53:13;77;confidence:1}
08-30-2021;;19:53:28;74;confidence:1}
08-30-2021;;19:53:36;73;confidence:2}
08-30-2021;;19:53:41;72;confidence:0}
08-30-2021;;19:53:46;70;confidence:0}
08-30-2021;;19:53:56;77;confidence:2}
08-30-2021;;19:54:01;76;confidence:2}
08-30-2021;;19:54:06;75;confidence:2}
08-30-2021;;19:54:11;76;confidence:2}
08-30-2021;;19:54:21;75;confidence:2}
08-30-2021;;19:54:31;74;confidence:2}
08-30-2021;;19:54:36;73;confidence:2}
08-30-2021;;19:54:41;72;confidence:2}
08-30-2021;;19:54:51;73;confidence:2}
08-30-2021;;19:55:06;72;confidence:2}
08-30-2021;;19:55:11;71;confidence:2}
08-30-2021;;19:55:16;69;confidence:2}
08-30-2021;;19:55:21;68;confidence:2}
08-30-2021;;19:55:31;67;confidence:2}
08-30-2021;;19:55:36;69;confidence:1}
08-30-2021;;19:55:41;71;confidence:1}
08-30-2021;;19:55:46;70;confidence:1}
08-30-2021;;19:55:51;67;confidence:2}
08-30-2021;;19:56:06;67;confidence:2}
