event time,event
0.0,0.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
1667.977,6.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
2373.556,7.0
3235.126,10.0
3235.126,10.0
3235.126,10.0
3235.126,10.0
4355.054,3.0
4355.054,3.0
4355.054,3.0
4355.054,3.0
4355.054,3.0
4707.298,3.0
4707.298,3.0
4707.298,3.0
6985.7519999999995,4.0
6985.7519999999995,4.0
6985.7519999999995,4.0
6985.7519999999995,4.0
16542.542,7.0
16592.599,7.0
16643.102,7.0
16693.541,7.0
16747.099,7.0
16798.206000000002,7.0
16847.894,7.0
18521.786,5.0
18571.912,5.0
18622.32,5.0
18673.63,5.0
20239.336000000003,7.0
20290.284,7.0
20341.204999999998,7.0
20391.753999999997,7.0
20443.259000000002,7.0
20493.234999999997,7.0
20542.721,7.0
22564.952999999998,4.0
22564.952999999998,4.0
22665.514000000003,4.0
24384.964,4.0
24384.964,4.0
33132.994,5.0
33132.994,5.0
33234.129,5.0
33435.06,7.0
33485.305,7.0
33535.047,7.0
33585.46,7.0
33637.218,7.0
33637.218,7.0
38644.942,4.0
38694.968,4.0
38745.155,4.0
39259.787000000004,4.0
39310.34,4.0
39310.34,4.0
39410.11,4.0
49777.716,7.0
49777.716,7.0
49777.716,7.0
49777.716,7.0
49980.508,7.0
50030.597,7.0
