"dateTime,""value""";;Time;Value;
9/01/2021;;15:38:46;71;confidence:1}
9/01/2021;;15:38:51;73;confidence:1}
9/01/2021;;15:38:56;78;confidence:1}
9/01/2021;;15:39:01;81;confidence:1}
9/01/2021;;15:39:06;82;confidence:1}
9/01/2021;;15:39:11;85;confidence:1}
9/01/2021;;15:39:16;83;confidence:1}
9/01/2021;;15:39:21;82;confidence:1}
9/01/2021;;15:39:26;85;confidence:1}
9/01/2021;;15:39:31;80;confidence:1}
9/01/2021;;15:39:36;82;confidence:1}
9/01/2021;;15:39:51;80;confidence:1}
9/01/2021;;15:39:56;78;confidence:1}
9/01/2021;;15:40:01;69;confidence:1}
9/01/2021;;15:40:11;66;confidence:1}
9/01/2021;;15:40:16;75;confidence:1}
9/01/2021;;15:40:21;80;confidence:2}
9/01/2021;;15:40:31;81;confidence:2}
9/01/2021;;15:40:36;79;confidence:3}
9/01/2021;;15:40:41;77;confidence:3}
9/01/2021;;15:40:46;75;confidence:3}
9/01/2021;;15:40:51;73;confidence:2}
9/01/2021;;15:40:56;72;confidence:2}
9/01/2021;;15:41:06;73;confidence:1}
9/01/2021;;15:41:11;72;confidence:1}
9/01/2021;;15:41:16;72;confidence:3}
9/01/2021;;15:41:31;72;confidence:3}
9/01/2021;;15:41:36;73;confidence:3}
9/01/2021;;15:41:41;74;confidence:3}
9/01/2021;;15:41:46;73;confidence:3}
9/01/2021;;15:41:51;72;confidence:3}
9/01/2021;;15:41:56;73;confidence:1}
9/01/2021;;15:42:06;76;confidence:1}
9/01/2021;;15:42:11;79;confidence:1}
9/01/2021;;15:42:16;76;confidence:1}
9/01/2021;;15:42:26;77;confidence:1}
9/01/2021;;15:42:31;77;confidence:3}
9/01/2021;;15:42:36;76;confidence:1}
9/01/2021;;15:42:51;78;confidence:1}
9/01/2021;;15:42:56;79;confidence:1}
9/01/2021;;15:43:11;80;confidence:2}
9/01/2021;;15:43:16;79;confidence:2}
9/01/2021;;15:43:21;77;confidence:1}
9/01/2021;;15:43:26;75;confidence:1}
9/01/2021;;15:43:41;80;confidence:1}
9/01/2021;;15:43:46;85;confidence:1}
9/01/2021;;15:43:56;88;confidence:1}
9/01/2021;;15:44:04;82;confidence:1}
9/01/2021;;15:44:09;79;confidence:1}
9/01/2021;;15:44:14;72;confidence:0}
9/01/2021;;15:44:19;70;confidence:0}
9/01/2021;;15:44:24;72;confidence:0}
9/01/2021;;15:44:29;75;confidence:1}
9/01/2021;;15:44:44;78;confidence:2}
9/01/2021;;15:44:49;80;confidence:2}
9/01/2021;;15:44:54;81;confidence:2}
9/01/2021;;15:45:09;80;confidence:2}
9/01/2021;;15:45:14;79;confidence:2}
9/01/2021;;15:45:19;78;confidence:2}
9/01/2021;;15:45:34;78;confidence:2}
9/01/2021;;15:45:39;79;confidence:2}
9/01/2021;;15:45:44;81;confidence:2}
9/01/2021;;15:45:49;82;confidence:2}
9/01/2021;;15:46:04;82;confidence:2}
9/01/2021;;15:46:19;83;confidence:2}
9/01/2021;;15:46:24;81;confidence:2}
9/01/2021;;15:46:29;78;confidence:2}
9/01/2021;;15:46:44;78;confidence:2}
9/01/2021;;15:46:54;79;confidence:2}
9/01/2021;;15:47:04;79;confidence:1}
9/01/2021;;15:47:09;80;confidence:1}
9/01/2021;;15:47:14;86;confidence:2}
9/01/2021;;15:47:19;88;confidence:2}
9/01/2021;;15:47:24;87;confidence:2}
9/01/2021;;15:47:29;84;confidence:2}
9/01/2021;;15:47:34;81;confidence:3}
9/01/2021;;15:47:39;82;confidence:2}
