event time,event
0.0,0.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
1310.628,6.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
3585.456,7.0
9005.793000000001,2.0
9005.793000000001,2.0
9005.793000000001,2.0
9005.793000000001,2.0
9005.793000000001,2.0
9005.793000000001,2.0
11273.005,10.0
11476.996,10.0
11476.996,10.0
11582.264000000001,10.0
14983.505,4.0
14983.505,4.0
14983.505,4.0
14983.505,4.0
18883.992,10.0
18883.992,10.0
18985.159,10.0
18985.159,10.0
18985.159,10.0
19645.017,10.0
19695.744000000002,10.0
19745.787,10.0
19798.029,10.0
19849.373,10.0
21366.260000000002,4.0
21416.277000000002,4.0
21467.272,4.0
21517.074999999997,4.0
21568.264,4.0
21618.614999999998,4.0
21670.048000000003,4.0
21721.028000000002,4.0
21772.310999999998,4.0
21822.236,4.0
22583.297000000002,7.0
22633.464,7.0
22684.336,7.0
22734.645,7.0
22785.323,7.0
22835.131,7.0
22886.077,7.0
22936.966,7.0
22987.992,7.0
23038.743,7.0
23038.743,7.0
23038.743,7.0
23038.743,7.0
23242.983,7.0
23294.122000000003,7.0
23344.141,7.0
23394.465,7.0
23443.981,7.0
23494.089,7.0
23544.372,7.0
23596.738999999998,7.0
23646.919,7.0
23697.786,7.0
23747.832,7.0
23798.075,7.0
23848.072,7.0
23898.478,7.0
23949.952,7.0
23999.811999999998,7.0
24050.398999999998,7.0
24100.853,7.0
24151.78,7.0
24151.78,7.0
24252.283,7.0
24302.24,7.0
24302.24,7.0
24404.1,7.0
24454.810999999998,7.0
24505.552000000003,7.0
24555.207,7.0
24604.982,7.0
24655.547,7.0
24706.468999999997,7.0
24759.017,7.0
24759.017,7.0
24861.976,7.0
24913.705,7.0
24963.203,7.0
25013.219,7.0
25064.183,7.0
25114.573,7.0
25163.997,7.0
25215.339,7.0
25265.006,7.0
25315.136,7.0
25366.465,7.0
25417.024999999998,7.0
25468.216,7.0
25519.285,7.0
25570.161,7.0
25620.406,7.0
25671.139,7.0
25721.761000000002,7.0
25772.52,7.0
25827.442000000003,7.0
25879.069,7.0
25929.439,7.0
25979.272,7.0
26029.204,7.0
26079.139000000003,7.0
26079.139000000003,7.0
26079.139000000003,7.0
26079.139000000003,7.0
26079.139000000003,7.0
26079.139000000003,7.0
26383.306999999997,7.0
26383.306999999997,7.0
26484.023,7.0
26538.163999999997,7.0
26589.176,7.0
26640.113,7.0
26690.802,7.0
26690.802,7.0
26690.802,7.0
26843.214,7.0
26894.0,7.0
26944.462000000003,7.0
26994.097,7.0
27954.422000000002,5.0
27954.422000000002,5.0
27954.422000000002,5.0
27954.422000000002,5.0
29224.472999999998,4.0
29275.459000000003,4.0
29325.606,4.0
29375.132,4.0
29425.571,4.0
29475.585,4.0
29527.992000000002,4.0
29578.727,4.0
29629.415,4.0
29679.791,4.0
29730.756,4.0
29782.316000000003,4.0
29833.07,4.0
29884.251,4.0
29934.475,4.0
29984.964,4.0
30035.479,4.0
30088.221,4.0
30138.518,4.0
30189.156,4.0
30240.686,4.0
30289.939000000002,4.0
30340.282,4.0
30390.818,4.0
30441.379,4.0
30491.893,4.0
31050.274999999998,4.0
31100.933999999997,4.0
31150.849000000002,4.0
31201.76,4.0
31254.460000000003,4.0
31304.581,4.0
32572.335000000003,7.0
32572.335000000003,7.0
32572.335000000003,7.0
32572.335000000003,7.0
32572.335000000003,7.0
32572.335000000003,7.0
32878.047,7.0
32929.234000000004,7.0
32979.387,7.0
33029.998999999996,7.0
33080.46,7.0
33131.297000000006,7.0
33182.149000000005,7.0
33231.912000000004,7.0
33231.912000000004,7.0
33231.912000000004,7.0
33231.912000000004,7.0
33231.912000000004,7.0
33488.942,7.0
33540.148,7.0
33590.234000000004,7.0
33590.234000000004,7.0
33691.54,7.0
33741.840000000004,7.0
33793.104999999996,7.0
33843.927,7.0
33895.555,7.0
33895.555,7.0
33997.118,7.0
34047.032,7.0
34047.032,7.0
34149.259999999995,7.0
34960.473,5.0
34960.473,5.0
35060.217000000004,5.0
35109.903000000006,5.0
35159.835,5.0
36670.799,10.0
36721.308,10.0
36771.472,10.0
36821.185,10.0
45699.289,2.0
45699.289,2.0
45799.318,2.0
45799.318,2.0
51108.055,5.0
51159.218,5.0
51209.443,5.0
51260.23,5.0
51310.456000000006,5.0
51360.895,5.0
51663.784999999996,4.0
51715.236,4.0
51715.236,4.0
51815.587,4.0
62686.679,5.0
62737.058,5.0
62788.174,5.0
62838.361,5.0
79950.341,4.0
