"dateTime","value"
"09-02-2021 18:46:52","{""bpm"":87,""confidence"":2}"
"09-02-2021 18:46:57","{""bpm"":77,""confidence"":2}"
"09-02-2021 18:47:02","{""bpm"":73,""confidence"":2}"
"09-02-2021 18:47:07","{""bpm"":74,""confidence"":2}"
"09-02-2021 18:47:12","{""bpm"":73,""confidence"":2}"
"09-02-2021 18:47:17","{""bpm"":71,""confidence"":2}"
"09-02-2021 18:47:22","{""bpm"":68,""confidence"":2}"
"09-02-2021 18:47:27","{""bpm"":66,""confidence"":1}"
"09-02-2021 18:47:32","{""bpm"":70,""confidence"":2}"
"09-02-2021 18:47:37","{""bpm"":76,""confidence"":2}"
"09-02-2021 18:47:42","{""bpm"":76,""confidence"":1}"
"09-02-2021 18:47:47","{""bpm"":77,""confidence"":1}"
"09-02-2021 18:47:52","{""bpm"":78,""confidence"":1}"
"09-02-2021 18:47:57","{""bpm"":79,""confidence"":1}"
"09-02-2021 18:48:02","{""bpm"":81,""confidence"":1}"
"09-02-2021 18:48:07","{""bpm"":77,""confidence"":1}"
"09-02-2021 18:48:12","{""bpm"":75,""confidence"":1}"
"09-02-2021 18:48:17","{""bpm"":71,""confidence"":1}"
"09-02-2021 18:48:22","{""bpm"":69,""confidence"":1}"
"09-02-2021 18:48:27","{""bpm"":67,""confidence"":1}"
"09-02-2021 18:48:32","{""bpm"":69,""confidence"":1}"
"09-02-2021 18:48:37","{""bpm"":73,""confidence"":1}"
"09-02-2021 18:48:52","{""bpm"":71,""confidence"":1}"
"09-02-2021 18:49:02","{""bpm"":70,""confidence"":1}"
"09-02-2021 18:49:07","{""bpm"":68,""confidence"":1}"
"09-02-2021 18:49:17","{""bpm"":69,""confidence"":2}"
"09-02-2021 18:49:22","{""bpm"":70,""confidence"":1}"
"09-02-2021 18:49:27","{""bpm"":68,""confidence"":1}"
"09-02-2021 18:49:32","{""bpm"":67,""confidence"":1}"
"09-02-2021 18:49:42","{""bpm"":68,""confidence"":1}"
"09-02-2021 18:49:47","{""bpm"":69,""confidence"":1}"
"09-02-2021 18:49:52","{""bpm"":70,""confidence"":1}"
"09-02-2021 18:50:02","{""bpm"":71,""confidence"":1}"
"09-02-2021 18:50:07","{""bpm"":72,""confidence"":1}"
"09-02-2021 18:50:17","{""bpm"":69,""confidence"":1}"
"09-02-2021 18:50:22","{""bpm"":67,""confidence"":1}"
"09-02-2021 18:50:32","{""bpm"":66,""confidence"":1}"
"09-02-2021 18:50:37","{""bpm"":67,""confidence"":1}"
