event time,event
0.0,0.0
9818.101,6.0
9818.101,6.0
9818.101,6.0
9818.101,6.0
9818.101,6.0
9818.101,6.0
9818.101,6.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
10687.812,7.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
13698.465,10.0
15622.671,3.0
15622.671,3.0
15622.671,3.0
15978.797999999999,3.0
15978.797999999999,3.0
15978.797999999999,3.0
18619.607,4.0
18619.607,4.0
18619.607,4.0
18619.607,4.0
18619.607,4.0
